neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
671,-1.043956,-0.115716,-6.165137e-03,-4.473005e-04,3.865490e-03,1,0
1396,-1.035577,-0.104681,-6.132746e-03,-4.046446e-04,3.865490e-03,1,0
3711,-1.034858,-0.103960,-6.129967e-03,-4.018559e-04,3.865490e-03,1,0
1578,-1.025494,-0.093302,-6.093770e-03,-3.606590e-04,3.865490e-03,1,0
1246,-1.021150,-0.084732,-6.076979e-03,-3.275307e-04,3.865490e-03,1,0
3529,-1.021117,-0.092596,-6.076853e-03,-3.579297e-04,3.865490e-03,1,0
14,-1.021029,-0.097435,-6.076511e-03,-3.766351e-04,3.865490e-03,1,0
927,-1.020335,-0.081679,-6.073829e-03,-3.157286e-04,3.865490e-03,1,0
2843,-1.020154,-0.092781,-6.073130e-03,-3.586459e-04,3.865490e-03,1,0
401,-1.020133,-0.088636,-6.073048e-03,-3.426216e-04,3.865490e-03,1,0
4695,-1.020126,-0.085716,-6.073019e-03,-3.313340e-04,3.865490e-03,1,0
2344,-1.019867,-0.099758,-6.072019e-03,-3.856147e-04,3.865490e-03,1,0
2144,-1.018803,-0.084989,-6.067908e-03,-3.285239e-04,3.865490e-03,1,0
3370,-1.018495,-0.083718,-6.066715e-03,-3.236104e-04,3.865490e-03,1,0
2616,-1.017290,-0.087662,-6.062059e-03,-3.388570e-04,3.865490e-03,1,0
2851,-1.016981,-0.076060,-6.060863e-03,-2.940081e-04,3.865490e-03,1,0
1459,-1.016668,-0.077008,-6.059652e-03,-2.976743e-04,3.865490e-03,1,0
3680,-1.016413,-0.089864,-6.058669e-03,-3.473688e-04,3.865490e-03,1,0
4574,-1.016335,-0.087117,-6.058369e-03,-3.367499e-04,3.865490e-03,1,0
4947,-1.014909,-0.090399,-6.052854e-03,-3.494374e-04,3.865490e-03,1,0
2170,-1.014540,-0.073264,-6.051428e-03,-2.831998e-04,3.865490e-03,1,0
3571,-1.011936,-0.069115,-6.041362e-03,-2.671640e-04,3.865490e-03,1,0
1789,-1.011661,-0.068719,-6.040299e-03,-2.656343e-04,3.865490e-03,1,0
3955,-1.010885,-0.082375,-6.037300e-03,-3.184196e-04,3.865490e-03,1,0
418,-1.009923,-0.068696,-6.033579e-03,-2.655420e-04,3.865490e-03,1,0
147,-1.009770,-0.086777,-6.032990e-03,-3.354367e-04,3.865490e-03,1,0
4330,-1.009240,-0.071843,-6.030939e-03,-2.777102e-04,3.865490e-03,1,0
3102,-1.006915,-0.063212,-6.021953e-03,-2.443447e-04,3.865490e-03,1,0
3597,-1.006893,-0.067863,-6.021868e-03,-2.623231e-04,3.865490e-03,1,0
3059,-1.006395,-0.077727,-6.019943e-03,-3.004518e-04,3.865490e-03,1,0
4413,-1.006006,-0.092830,-6.018440e-03,-3.588316e-04,3.865490e-03,1,0
4338,-1.005791,-0.089497,-6.017607e-03,-3.459505e-04,3.865490e-03,1,0
2070,-1.005644,-0.067306,-6.017040e-03,-2.601721e-04,3.865490e-03,1,0
4451,-1.005406,-0.077792,-6.016121e-03,-3.007032e-04,3.865490e-03,1,0
