neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
3296,-1.450999,0.394234,-2.964311e-03,6.051327e-04,1.534959e-03,1,0
3478,-1.383583,0.326701,-2.860831e-03,5.014720e-04,1.534959e-03,1,0
1426,-1.368660,0.313079,-2.837926e-03,4.805633e-04,1.534959e-03,1,0
542,-1.357499,0.300036,-2.820793e-03,4.605423e-04,1.534959e-03,1,0
2461,-1.329363,0.272407,-2.777607e-03,4.181337e-04,1.534959e-03,1,0
903,-1.329212,0.272956,-2.777375e-03,4.189768e-04,1.534959e-03,1,0
2827,-1.319606,0.261699,-2.762630e-03,4.016973e-04,1.534959e-03,1,0
67,-1.302707,0.246327,-2.736690e-03,3.781022e-04,1.534959e-03,1,0
334,-1.291627,0.235312,-2.719683e-03,3.611947e-04,1.534959e-03,1,0
289,-1.278057,0.219775,-2.698854e-03,3.373457e-04,1.534959e-03,1,0
1421,-1.271519,0.215531,-2.688817e-03,3.308309e-04,1.534959e-03,1,0
2318,-1.263234,0.205158,-2.676101e-03,3.149087e-04,1.534959e-03,1,0
340,-1.256085,0.197729,-2.665127e-03,3.035058e-04,1.534959e-03,1,0
3146,-1.253797,0.195608,-2.661615e-03,3.002502e-04,1.534959e-03,1,0
3359,-1.241647,0.183209,-2.642965e-03,2.812184e-04,1.534959e-03,1,0
3347,-1.236306,0.181432,-2.634767e-03,2.784908e-04,1.534959e-03,1,0
1686,-1.229716,0.172056,-2.624652e-03,2.640988e-04,1.534959e-03,1,0
3138,-1.229030,0.172648,-2.623599e-03,2.650071e-04,1.534959e-03,1,0
251,-1.223794,0.168092,-2.615562e-03,2.580146e-04,1.534959e-03,1,0
464,-1.221998,0.164880,-2.612805e-03,2.530845e-04,1.534959e-03,1,0
3286,-1.216728,0.159366,-2.604716e-03,2.446204e-04,1.534959e-03,1,0
2664,-1.214676,0.158431,-2.601566e-03,2.431855e-04,1.534959e-03,1,0
2571,-1.212409,0.153614,-2.598086e-03,2.357905e-04,1.534959e-03,1,0
799,-1.211126,0.154314,-2.596117e-03,2.368649e-04,1.534959e-03,1,0
1511,-1.198037,0.141051,-2.576026e-03,2.165068e-04,1.534959e-03,1,0
3426,-1.197680,0.141324,-2.575478e-03,2.169266e-04,1.534959e-03,1,0
1549,-1.191015,0.136170,-2.565247e-03,2.090158e-04,1.534959e-03,1,0
2301,-1.189182,0.131188,-2.562435e-03,2.013686e-04,1.534959e-03,1,0
2135,-1.188915,0.131496,-2.562023e-03,2.018411e-04,1.534959e-03,1,0
1038,-1.185129,0.128875,-2.556213e-03,1.978181e-04,1.534959e-03,1,0
3433,-1.182847,0.126160,-2.552710e-03,1.936503e-04,1.534959e-03,1,0
376,-1.177075,0.121880,-2.543850e-03,1.870810e-04,1.534959e-03,1,0
320,-1.173883,0.117577,-2.538950e-03,1.804762e-04,1.534959e-03,1,0
2794,-1.173817,0.117328,-2.538850e-03,1.800935e-04,1.534959e-03,1,0
3161,-1.169661,0.113936,-2.532470e-03,1.748874e-04,1.534959e-03,1,0
1407,-1.166054,0.111998,-2.526934e-03,1.719121e-04,1.534959e-03,1,0
2047,-1.163427,0.107093,-2.522901e-03,1.643830e-04,1.534959e-03,1,0
2067,-1.155050,0.098636,-2.510042e-03,1.514026e-04,1.534959e-03,1,0
2249,-1.131647,0.077216,-2.474120e-03,1.185236e-04,1.534959e-03,1,0
3041,-1.130151,0.074522,-2.471823e-03,1.143889e-04,1.534959e-03,1,0
947,-1.126497,0.069628,-2.466215e-03,1.068755e-04,1.534959e-03,1,0
865,-1.126370,0.069955,-2.466020e-03,1.073787e-04,1.534959e-03,1,0
3373,-1.115994,0.063393,-2.450094e-03,9.730601e-05,1.534959e-03,1,0
2117,-1.112875,0.055738,-2.445306e-03,8.555595e-05,1.534959e-03,1,0
633,-1.098528,0.042478,-2.423284e-03,6.520203e-05,1.534959e-03,1,0
2097,-1.097247,0.040211,-2.421318e-03,6.172264e-05,1.534959e-03,1,0
1554,-1.092657,0.037033,-2.414272e-03,5.684459e-05,1.534959e-03,1,0
2649,-1.092312,0.038624,-2.413743e-03,5.928621e-05,1.534959e-03,1,0
2376,-1.090154,0.034358,-2.410430e-03,5.273748e-05,1.534959e-03,1,0
1545,-1.083465,0.029206,-2.400163e-03,4.482988e-05,1.534959e-03,1,0
910,-1.071789,0.016436,-2.382241e-03,2.522897e-05,1.534959e-03,0,0
1914,-1.069641,0.011909,-2.378944e-03,1.828015e-05,1.534959e-03,0,0
1698,-1.069212,0.015377,-2.378285e-03,2.360355e-05,1.534959e-03,0,0
2837,-1.059464,0.008101,-2.363322e-03,1.243469e-05,1.534959e-03,0,0
1506,-1.056040,0.002921,-2.358066e-03,4.483316e-06,1.534959e-03,0,0
1202,-1.049360,-0.004660,-2.347813e-03,-7.152591e-06,1.534959e-03,0,0
2955,-1.047075,-0.003544,-2.344306e-03,-5.439528e-06,1.534959e-03,0,0
71,-1.044645,-0.006329,-2.340575e-03,-9.715231e-06,1.534959e-03,0,0
2517,-1.042261,-0.015658,-2.336916e-03,-2.403482e-05,1.534959e-03,0,0
3413,-1.042006,-0.013567,-2.336524e-03,-2.082429e-05,1.534959e-03,0,0
2418,-1.038054,-0.015070,-2.330459e-03,-2.313241e-05,1.534959e-03,0,0
3339,-1.032855,-0.016978,-2.322479e-03,-2.606052e-05,1.534959e-03,0,0
3203,-1.027340,-0.023404,-2.314013e-03,-3.592465e-05,1.534959e-03,1,0
115,-1.020019,-0.032547,-2.302776e-03,-4.995898e-05,1.534959e-03,1,0
3076,-1.013429,-0.037708,-2.292660e-03,-5.788064e-05,1.534959e-03,1,0
863,-1.009371,-0.038895,-2.286432e-03,-5.970174e-05,1.534959e-03,1,0
857,-1.003870,-0.047362,-2.277987e-03,-7.269934e-05,1.534959e-03,1,0
736,-1.002440,-0.049213,-2.275792e-03,-7.554030e-05,1.534959e-03,1,0
2489,-1.000000,-0.112938,-2.272047e-03,-1.733558e-04,1.534959e-03,1,0
3477,-1.000000,-0.110751,-2.272047e-03,-1.699985e-04,1.534959e-03,1,0
977,-1.000000,-0.113227,-2.272047e-03,-1.737984e-04,1.534959e-03,1,0
3109,-1.000000,-0.108644,-2.272047e-03,-1.667635e-04,1.534959e-03,1,0
2880,-1.000000,-0.116761,-2.272047e-03,-1.792226e-04,1.534959e-03,1,0
3274,-1.000000,-0.100114,-2.272047e-03,-1.536713e-04,1.534959e-03,1,0
978,-1.000000,-0.103206,-2.272047e-03,-1.584168e-04,1.534959e-03,1,0
1639,-1.000000,-0.102511,-2.272047e-03,-1.573501e-04,1.534959e-03,1,0
663,-1.000000,-0.095336,-2.272047e-03,-1.463364e-04,1.534959e-03,1,0
2564,-1.000000,-0.099982,-2.272047e-03,-1.534679e-04,1.534959e-03,1,0
452,-1.000000,-0.094374,-2.272047e-03,-1.448596e-04,1.534959e-03,1,0
1719,-1.000000,-0.093991,-2.272047e-03,-1.442728e-04,1.534959e-03,1,0
2670,-1.000000,-0.093999,-2.272047e-03,-1.442849e-04,1.534959e-03,1,0
1210,-1.000000,-0.098961,-2.272047e-03,-1.519003e-04,1.534959e-03,1,0
856,-1.000000,-0.098994,-2.272047e-03,-1.519519e-04,1.534959e-03,1,0
1518,-1.000000,-0.099299,-2.272047e-03,-1.524197e-04,1.534959e-03,1,0
1916,-1.000000,-0.099164,-2.272047e-03,-1.522134e-04,1.534959e-03,1,0
3364,-1.000000,-0.098168,-2.272047e-03,-1.506832e-04,1.534959e-03,1,0
2466,-1.000000,-0.098813,-2.272047e-03,-1.516741e-04,1.534959e-03,1,0
1338,-1.000000,-0.090409,-2.272047e-03,-1.387747e-04,1.534959e-03,1,0
1144,-1.000000,-0.090933,-2.272047e-03,-1.395784e-04,1.534959e-03,1,0
3424,-1.000000,-0.097005,-2.272047e-03,-1.488989e-04,1.534959e-03,1,0
1883,-1.000000,-0.093903,-2.272047e-03,-1.441380e-04,1.534959e-03,1,0
2873,-1.000000,-0.095258,-2.272047e-03,-1.462169e-04,1.534959e-03,1,0
2661,-1.000000,-0.097546,-2.272047e-03,-1.497294e-04,1.534959e-03,1,0
1089,-1.000000,-0.092056,-2.272047e-03,-1.413028e-04,1.534959e-03,1,0
802,-1.000000,-0.088175,-2.272047e-03,-1.353457e-04,1.534959e-03,1,0
1939,-1.000000,-0.087902,-2.272047e-03,-1.349257e-04,1.534959e-03,1,0
402,-1.000000,-0.088852,-2.272047e-03,-1.363847e-04,1.534959e-03,1,0
407,-1.000000,-0.088345,-2.272047e-03,-1.356060e-04,1.534959e-03,1,0
285,-1.000000,-0.101415,-2.272047e-03,-1.556682e-04,1.534959e-03,1,0
240,-1.000000,-0.093093,-2.272047e-03,-1.428937e-04,1.534959e-03,1,0
2543,-1.000000,-0.093096,-2.272047e-03,-1.428982e-04,1.534959e-03,1,0
2630,-1.000000,-0.086439,-2.272047e-03,-1.326805e-04,1.534959e-03,1,0
2177,-1.000000,-0.087871,-2.272047e-03,-1.348791e-04,1.534959e-03,1,0
1065,-1.000000,-0.092792,-2.272047e-03,-1.424322e-04,1.534959e-03,1,0
1736,-1.000000,-0.085324,-2.272047e-03,-1.309688e-04,1.534959e-03,1,0
1684,-1.000000,-0.091851,-2.272047e-03,-1.409868e-04,1.534959e-03,1,0
851,-1.000000,-0.085175,-2.272047e-03,-1.307398e-04,1.534959e-03,1,0
2007,-1.000000,-0.098661,-2.272047e-03,-1.514402e-04,1.534959e-03,1,0
725,-1.000000,-0.090822,-2.272047e-03,-1.394078e-04,1.534959e-03,1,0
2809,-1.000000,-0.089745,-2.272047e-03,-1.377549e-04,1.534959e-03,1,0
1894,-1.000000,-0.090418,-2.272047e-03,-1.387883e-04,1.534959e-03,1,0
580,-1.000000,-0.083414,-2.272047e-03,-1.280365e-04,1.534959e-03,1,0
2553,-1.000000,-0.084045,-2.272047e-03,-1.290051e-04,1.534959e-03,1,0
2061,-1.000000,-0.083922,-2.272047e-03,-1.288163e-04,1.534959e-03,1,0
789,-1.000000,-0.088759,-2.272047e-03,-1.362415e-04,1.534959e-03,1,0
1168,-1.000000,-0.081369,-2.272047e-03,-1.248988e-04,1.534959e-03,1,0
83,-1.000000,-0.082387,-2.272047e-03,-1.264606e-04,1.534959e-03,1,0
2611,-1.000000,-0.086705,-2.272047e-03,-1.330879e-04,1.534959e-03,1,0
1002,-1.000000,-0.087203,-2.272047e-03,-1.338528e-04,1.534959e-03,1,0
