neuron_idx,a_j,b_j
0,0.00277417,0.60012770
1,-0.00067427,-0.80099649
2,0.02680046,-0.55229136
3,-0.00297632,-0.13670415
4,-0.00190286,0.45039372
5,0.01279031,0.45528510
6,-0.01170137,0.65230858
7,-0.00540402,-0.02366859
8,0.00105920,-0.09822095
9,-0.00377302,0.95535345
10,-0.00842980,-0.66632876
11,-0.00215185,-0.05808657
12,-0.00359736,0.99546750
13,0.00817189,-0.31788648
14,-0.01506980,-0.77581629
15,-0.00492307,-0.33468468
16,0.01361381,-0.36072403
17,0.01695571,0.56299360
18,-0.01251038,-0.42480519
19,0.00853193,-0.33164801
20,-0.08504750,-1.00000009
21,0.04518348,-1.09329549
22,-0.01606918,-0.91845226
23,-0.00734507,0.73234450
24,0.01220964,-0.57072907
25,0.00946079,-0.40530592
26,-0.00054843,0.36215544
27,-0.00514132,0.11208157
28,0.00247874,-0.23751964
29,0.00105226,-0.22312096
30,0.00542887,0.76609640
31,-0.00386085,-0.28667931
32,-0.00012946,0.98331114
33,0.00161601,-0.25509867
34,-0.00167568,-0.89775430
35,0.00138640,0.33563231
36,0.00487932,-0.62979358
37,0.01393027,-0.01755750
38,0.00461002,-0.84305243
39,0.01574337,-0.15819610
40,-0.00579328,0.43400853
41,-0.00640780,0.55966332
42,-0.00182302,0.43830336
43,0.00109737,0.50073144
44,0.00574052,-0.63591741
45,0.01177208,0.20014229
46,0.00947692,0.14869948
47,0.00772284,-0.43501600
48,-0.00447715,0.28794121
49,-0.00211197,0.34948679
50,0.01374272,0.96019249
51,0.00539537,-0.69671899
52,-0.01482919,0.61117765
53,-0.00866563,0.12665074
54,-0.00354840,-0.30728931
55,0.00942067,0.81387602
56,0.00198171,-0.81010151
57,0.02468568,-0.33141661
58,0.00656647,-0.05313750
59,-0.00101571,0.79781673
60,-0.00217160,-0.58054500
61,0.00969740,-0.05433857
62,-0.00452289,0.81225329
63,-0.00655043,-0.75234801
64,0.00455619,0.31543906
65,-0.00086184,0.26487732
66,0.01244650,0.02298465
67,-0.00278885,0.81908242
68,-0.02671745,-0.77729802
69,0.00505860,0.74442420
70,-0.01596201,-0.62617245
71,0.01453388,-0.10624682
72,0.01638599,0.85560629
73,-0.00694081,0.65408165
74,-0.00868963,-0.70723822
75,-0.01678630,0.74506666
76,0.00833481,0.96011829
77,-0.00385350,0.16102056
78,-0.00631623,-0.06858679
79,-0.00544902,0.45258761
80,0.01900405,0.53232816
81,0.00665898,-0.51157147
82,0.00388326,0.71304175
83,0.01027557,-0.28127029
84,0.01270977,-0.42006044
85,0.00987220,-0.12201719
86,-0.00383656,-0.50476548
87,-0.00388692,0.54441460
88,-0.00843463,0.23482466
89,-0.00489175,-0.73312510
