target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
sin_1pi,250,5000,1,15,3.777560e-01,15.603277,5.894232e+00,5.579254e-02,1,0.009466,5.569847e-02,1.028826e-03
sin_1pi,250,10000,1,14,4.824490e-01,15.642504,7.546710e+00,1.026072e-01,1,0.013596,1.031785e-01,1.027236e-03
sin_1pi,500,200,1,6,1.199532e+00,15.343640,1.840519e+01,8.331385e-01,1,0.045267,8.334640e-01,8.211619e-03
sin_1pi,500,500,1,6,1.199620e+00,15.516940,1.861443e+01,8.722742e-01,1,0.046860,8.725856e-01,4.636811e-03
sin_1pi,500,1000,1,6,1.199131e+00,15.609850,1.871826e+01,9.004799e-01,1,0.048107,9.006677e-01,2.770102e-03
sin_1pi,500,5000,1,4,1.834152e+00,15.735348,2.886102e+01,5.469648e+00,1,0.189517,5.469983e+00,8.660205e-04
sin_1pi,500,10000,1,3,1.858563e+00,15.775278,2.931935e+01,5.493086e+00,1,0.187354,5.494070e+00,1.102741e-03
sin_1pi,1000,200,1,1,2.052404e+00,16.934222,3.475586e+01,2.499927e+00,1,0.071928,2.500129e+00,5.688900e-03
sin_1pi,1000,500,1,1,2.043941e+00,16.970618,3.468694e+01,2.520624e+00,1,0.072668,2.522300e+00,4.261848e-03
sin_1pi,1000,1000,1,1,2.034936e+00,16.991998,3.457763e+01,2.527181e+00,1,0.073087,2.528491e+00,2.921958e-03
sin_1pi,1000,5000,1,2,1.948853e+00,17.000403,3.313129e+01,5.514592e+00,1,0.166447,5.515414e+00,1.095346e-03
sin_1pi,1000,10000,1,2,1.948195e+00,17.016163,3.315080e+01,5.560362e+00,1,0.167729,5.560869e+00,6.255006e-04
sin_1pi,1500,200,1,1,2.048861e+00,19.161279,3.925880e+01,2.511231e+00,1,0.063966,2.511535e+00,4.332646e-03
sin_1pi,1500,500,1,1,2.044892e+00,19.144763,3.914897e+01,2.518218e+00,1,0.064324,2.520196e+00,3.888968e-03
sin_1pi,1500,1000,1,1,2.038861e+00,19.156221,3.905687e+01,2.518832e+00,1,0.064491,2.519342e+00,2.448563e-03
sin_1pi,2000,500,1,1,2.031206e+00,21.915012,4.451390e+01,2.532493e+00,1,0.056892,2.533104e+00,2.750274e-03
sin_1pi,3500,500,1,1,2.030007e+00,32.329443,6.562900e+01,2.493352e+00,1,0.037992,2.494031e+00,2.478481e-03
sin_1pi,5000,500,1,1,2.032419e+00,43.232461,8.786648e+01,2.565255e+00,1,0.029195,2.567154e+00,3.028321e-03
sin_2pi,50,200,3,13,3.757600e-02,37.598134,1.412787e+00,9.219076e-03,1,0.006525,1.203553e-01,1.193586e-01
sin_2pi,50,500,3,26,2.202400e-02,44.366376,9.771251e-01,1.434177e-03,1,0.001468,5.540816e-02,5.536538e-02
sin_2pi,50,1000,3,35,3.677500e-02,48.298586,1.776181e+00,3.539795e-03,1,0.001993,2.885385e-02,2.855381e-02
sin_2pi,50,5000,3,44,3.902300e-02,53.423275,2.084736e+00,3.527573e-03,1,0.001692,6.596694e-03,5.727858e-03
