target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
sin_5pi,250,5000,9,19,3.684000e-02,256.017222,9.431674e+00,1.851773e-02,1,0.001963,1.079415e-01,1.055911e-01
sin_5pi,250,10000,9,19,4.699900e-02,261.113784,1.227209e+01,1.987766e-02,1,0.001620,1.051108e-01,1.024016e-01
sin_5pi,500,500,9,23,6.266300e-02,229.133203,1.435817e+01,2.758022e-02,1,0.001921,1.399838e-01,1.366975e-01
sin_5pi,500,5000,9,27,4.968700e-02,261.693831,1.300278e+01,2.200156e-02,1,0.001692,9.762153e-02,9.522704e-02
sin_5pi,500,10000,9,28,4.980100e-02,269.483201,1.342053e+01,2.786595e-02,1,0.002076,8.809103e-02,8.649216e-02
sin_5pi,1000,500,9,31,1.004620e-01,257.304016,2.584928e+01,9.269099e-02,1,0.003586,1.299878e-01,8.325200e-02
sin_5pi,1000,5000,9,26,1.405770e-01,294.048214,4.133642e+01,1.489955e-01,1,0.003604,1.558288e-01,4.172034e-02
sin_5pi,1000,10000,9,27,1.338800e-01,302.556341,4.050624e+01,1.589391e-01,1,0.003924,1.664764e-01,3.242086e-02
sin_5pi,2000,500,9,13,3.196490e-01,280.035388,8.951303e+01,6.336415e+00,1,0.070788,6.339082e+00,3.999290e-02
sin_5pi,3500,500,9,2,1.966590e+00,292.665991,5.755540e+02,1.757664e+01,1,0.030539,1.757484e+01,2.664437e-02
sin_5pi,5000,500,9,1,2.077616e+00,301.362690,6.261159e+02,7.932532e+00,1,0.012669,7.926931e+00,2.021128e-02
sin_6pi,50,500,11,13,3.210000e-03,56.394719,1.810270e-01,2.057840e-04,1,0.001137,8.038319e-01,8.038389e-01
sin_6pi,50,5000,11,13,7.588000e-03,261.846136,1.986888e+00,2.605419e-03,1,0.001311,2.637501e-01,2.637660e-01
sin_6pi,50,10000,11,16,3.827000e-02,318.862032,1.220285e+01,2.117210e-02,1,0.001735,1.642778e-01,1.627605e-01
sin_6pi,100,500,11,14,1.819000e-03,98.183190,1.785952e-01,3.385999e-05,1,0.000190,6.922689e-01,6.922686e-01
sin_6pi,100,5000,11,16,1.108900e-02,314.062090,3.482635e+00,4.873922e-03,1,0.001399,1.653514e-01,1.653449e-01
sin_6pi,100,10000,11,18,3.044600e-02,346.585023,1.055213e+01,1.329540e-02,1,0.001260,1.190879e-01,1.181192e-01
sin_6pi,250,500,11,14,9.246000e-03,194.670580,1.799924e+00,3.228123e-03,1,0.001793,4.287962e-01,4.288617e-01
sin_6pi,250,5000,11,21,5.562000e-03,353.433528,1.965797e+00,1.938598e-03,1,0.000986,1.156978e-01,1.155049e-01
sin_6pi,250,10000,11,22,2.003600e-02,362.615481,7.265364e+00,4.701372e-03,1,0.000647,1.084870e-01,1.082194e-01
sin_6pi,500,500,11,15,1.212000e-02,279.492827,3.387453e+00,3.470717e-03,1,0.001025,2.158995e-01,2.158052e-01
sin_6pi,500,5000,11,21,1.827200e-02,349.528418,6.386583e+00,1.008719e-02,1,0.001579,1.231019e-01,1.225247e-01
sin_6pi,500,10000,11,25,9.534000e-03,357.299546,3.406494e+00,3.859735e-03,1,0.001133,1.152120e-01,1.144747e-01
sin_6pi,1000,500,11,31,6.593400e-02,330.902185,2.181770e+01,1.011736e-02,1,0.000464,1.386317e-01,1.366583e-01
sin_6pi,1000,5000,11,33,5.934500e-02,370.829070,2.200685e+01,4.131813e-02,1,0.001878,1.116567e-01,1.020942e-01
sin_6pi,1000,10000,11,33,6.004900e-02,378.902322,2.275271e+01,9.581519e-02,1,0.004211,1.326085e-01,9.475617e-02
sin_6pi,2000,500,11,40,9.884700e-02,368.506264,3.642574e+01,6.064498e-02,1,0.001665,1.049658e-01,8.467113e-02
sin_6pi,3500,500,11,13,8.504290e-01,396.063329,3.368237e+02,4.038786e+00,1,0.011991,4.046127e+00,4.774010e-02
sin_6pi,5000,500,11,2,1.973213e+00,409.460826,8.079534e+02,1.943355e+01,1,0.024053,1.943745e+01,3.427237e-02
sin_7pi,50,500,13,14,1.260000e-04,40.793495,5.139980e-03,6.877117e-06,1,0.001338,8.988194e-01,8.988194e-01
sin_7pi,50,5000,13,14,7.616000e-03,256.957373,1.956987e+00,2.149537e-03,1,0.001098,4.926633e-01,4.928177e-01
sin_7pi,50,10000,13,14,1.289000e-02,357.850340,4.612691e+00,5.191106e-03,1,0.001125,3.532890e-01,3.532974e-01
sin_7pi,100,500,13,15,4.840000e-04,80.190333,3.881212e-02,2.478301e-05,1,0.000639,8.093250e-01,8.093249e-01
sin_7pi,100,5000,13,15,1.032600e-02,356.534876,3.681579e+00,3.679899e-03,1,0.001000,2.946434e-01,2.946169e-01
sin_7pi,100,10000,13,18,1.002300e-02,430.613370,4.316038e+00,5.826280e-03,1,0.001350,1.749109e-01,1.749251e-01
sin_7pi,250,500,13,18,9.974000e-03,176.474703,1.760159e+00,1.053569e-03,1,0.000599,6.066493e-01,6.067097e-01
sin_7pi,250,5000,13,21,4.550200e-02,466.279594,2.121665e+01,2.948606e-02,1,0.001390,1.280558e-01,1.239951e-01
sin_7pi,250,10000,13,24,2.880300e-02,488.361719,1.406628e+01,1.949120e-02,1,0.001386,1.106542e-01,1.084131e-01
sin_7pi,500,500,13,17,9.419000e-03,288.991801,2.722014e+00,3.595847e-03,1,0.001321,3.767204e-01,3.769940e-01
sin_7pi,500,5000,13,23,4.172800e-02,478.523128,1.996781e+01,3.228304e-02,1,0.001617,1.233210e-01,1.180890e-01
sin_7pi,500,10000,13,24,4.319300e-02,490.681505,2.119401e+01,3.410364e-02,1,0.001609,1.159226e-01,1.100568e-01
sin_7pi,1000,500,13,22,1.357500e-02,397.164042,5.391502e+00,6.237233e-03,1,0.001157,1.928896e-01,1.926726e-01
sin_7pi,1000,5000,13,31,5.666600e-02,496.091505,2.811152e+01,4.341978e-02,1,0.001545,1.148625e-01,1.072889e-01
