target,m,T,seed,k_true,n_clusters,n_active,loss,max_da,max_db,active_leq_k
poly_k3,5000,500,5,3,2,930,1.8883273759154596e-05,0.0032645040549542257,0.0005476485600422283,0
poly_k3,5000,500,25,3,3,654,2.015387650782336e-05,0.006484268695637999,0.0012686588880966346,0
sin_2pi,1000,500,5,3,1,927,2.99304e-05,0.00339,0.000517,0
sin_2pi,1000,500,25,3,1,929,3.18166e-05,0.001676,0.000269,0
sin_4pi,2000,500,5,7,3,1940,0.0002475862,0.011917,0.001916,0
sin_4pi,2000,500,25,7,5,1943,0.0002675814,0.007031,0.001343,0
