neuron_idx,a_j,b_j
0,-0.07421275,-0.75314392
1,0.06034683,-0.37941862
2,-0.03035036,0.04753203
3,-0.00029256,-0.00682782
4,-0.00773461,0.00142779
5,-0.07659377,-0.72234882
6,-0.07146997,0.30621343
7,0.01033837,0.01266568
8,-0.00848040,-0.01492991
9,0.03891655,-0.05777338
10,0.02910341,0.56942827
11,0.02698019,0.92281206
12,-0.02147279,-0.58536214
13,0.01593850,0.92533673
14,0.07453078,-0.24685619
15,-0.05196177,0.40703577
16,0.08640630,-0.19334317
17,0.05192843,-0.32791691
18,-0.06020465,0.26199632
19,-0.07361385,0.17633109
20,0.03268130,0.52272190
21,-0.02592300,-0.50748263
22,-0.03226734,-0.86254908
23,-0.04412120,0.37783598
24,-0.07931074,0.31983701
25,-0.08618791,0.16503080
26,0.07860596,-0.17829308
27,0.06505337,0.67483955
28,-0.05543812,0.37827024
29,-0.05657487,-0.77177408
30,-0.06900776,0.18593096
31,0.01770878,-0.06230294
32,0.00776660,-0.51182477
33,-0.05766241,-0.85815497
34,0.07324729,-0.28447543
35,-0.06218667,0.30018262
36,0.00848366,-0.48740272
37,0.04739613,0.85243253
38,-0.00539563,-0.51474236
39,-0.09337320,0.21309807
40,0.17917363,-1.03064468
41,0.04427096,0.80605960
42,-0.07377849,-0.81171008
43,0.03258084,-0.95902981
44,-0.06414887,0.16849414
45,0.06138174,0.66016113
46,-0.00197403,0.99839438
47,-0.07551465,-0.84467509
48,0.00825506,0.97169349
49,-0.05281654,0.23919446
50,-0.05867885,0.17623362
51,0.06870673,0.85709623
52,-0.05487002,0.38336907
53,0.01841169,-0.49149036
54,0.07761378,-0.30724082
55,0.05775014,0.63344144
56,0.04764696,-0.36914114
57,0.05665884,-0.36490954
58,0.09637007,-0.99734614
59,0.06737868,0.84267863
60,0.01202733,-0.48903594
61,-0.05263171,-0.60940634
62,-0.08298984,-0.67348823
63,0.06672778,-0.98616010
64,0.05938944,-0.27298530
65,0.07777754,-0.20008375
66,-0.05714649,-0.85768433
67,0.00717349,0.99075074
68,-0.07069368,-0.73647840
69,0.05708707,0.64171879
70,0.16898865,-1.02088958
71,-0.00517833,0.95689421
72,0.07712749,-0.15056734
73,0.05082133,-0.41348678
74,0.05894032,0.61818820
75,-0.03474298,0.05454027
76,0.07362588,0.68382478
77,0.06388031,-0.28438949
78,-0.06658977,0.30359134
79,0.08616401,-0.13971699
80,-0.02565793,-0.54943894
81,-0.07948328,-0.69932074
82,-0.05540530,-0.86025871
83,-0.07936025,-0.76478263
84,-0.08620354,0.24426717
85,-0.06773278,-0.67205261
86,0.07775040,0.75442553
87,0.02698005,0.91144704
88,0.08103003,0.72864328
89,-0.07425829,-0.67939316
90,-0.02139097,0.01224143
91,0.07365539,-0.19966692
92,-0.08701599,0.23213506
93,-0.01432439,0.45863326
94,0.03824601,0.86913775
95,-0.08185181,-0.77382475
96,-0.08531969,-0.82079801
97,0.04209909,0.88661545
98,-0.04659862,-0.60349785
99,-0.00319590,0.49635746
100,-0.00904976,-0.00854981
101,-0.06439432,0.24972271
102,-0.06030095,0.15561550
103,0.02934643,-0.38095939
104,0.08527203,-0.21563063
105,0.03138973,-0.42227162
106,0.05027461,-0.38183895
107,0.03065962,-0.04707554
108,-0.01074193,-0.90027190
109,-0.07657951,-0.76510007
110,-0.07079747,0.16927918
111,0.00146989,0.49609751
112,0.05727483,-0.37788303
113,-0.03958312,0.43933283
114,0.06776326,-0.18337944
115,0.05124855,-0.10109360
116,-0.04720120,0.40564242
117,0.07545240,-0.99126373
118,-0.06656277,0.28227058
119,-0.01123197,0.47405552
120,-0.05286513,0.15935836
121,0.09730636,-0.99787520
122,-0.00369149,-0.51614006
123,-0.01859879,0.45151634
124,0.07605064,-0.11543504
125,0.03994215,0.53299287
126,-0.06567740,0.32346941
127,0.05105493,0.87070106
128,0.06061810,0.64355487
129,-0.04528914,0.38972048
130,0.01795407,0.94731979
131,-0.03799909,-0.57082058
132,-0.08418833,-0.78613838
133,-0.06987448,0.29590743
134,-0.08343862,0.32201476
135,-0.05882726,0.23864473
136,-0.06821587,-0.85779685
137,0.05900954,-0.23548099
138,0.07995471,-0.15473202
139,0.06798476,0.70055384
140,0.00908140,0.47996430
141,-0.04332103,-0.56758598
142,-0.03164286,0.41936762
143,-0.07410274,0.29385392
144,0.06059332,-0.34278761
145,0.04843722,-0.36049467
146,-0.04586956,-0.59279087
147,-0.07344155,0.28375879
148,-0.06408728,0.14137075
149,0.03963952,-0.04583891
150,0.06513138,0.79798802
151,0.07942866,0.67874654
152,0.06893624,-0.25087454
153,-0.05360472,0.33001816
154,-0.00479286,0.97567092
155,0.02898860,-0.06769728
156,-0.06703928,-0.76549120
157,-0.04473344,-0.87449777
158,-0.07579211,0.12495288
159,0.06040025,-0.32297410
160,-0.04628505,0.08121331
161,-0.01905696,-0.54598229
162,0.00799765,0.51341455
163,0.01263105,-0.01133999
164,0.01920981,0.53395454
165,0.05912042,0.68642854
166,-0.01654660,0.98699389
167,-0.06386215,0.11560277
168,0.14287214,-0.99999987
169,-0.10113305,-0.69996675
170,0.02746926,0.93380013
171,-0.00576251,0.96060959
172,0.07634752,-0.15899003
173,0.00865136,0.97764484
174,0.11110354,-0.99947489
175,0.05927848,-0.10899794
176,0.02076615,0.54837449
177,-0.05524508,-0.61777003
178,-0.05911971,-0.68061174
179,0.02022607,0.50778131
180,0.01073106,-0.03078630
181,0.04763667,-0.06641633
182,0.07175383,0.61316398
183,-0.08434855,0.18803387
184,0.04727526,0.78341895
185,0.04793846,0.68111560
186,-0.06589839,-0.85606575
187,-0.04611561,0.30803789
188,-0.08132768,-0.78278894
189,0.05801473,-0.18132478
190,-0.01838373,-0.89172591
191,0.00785527,0.92660142
192,-0.08288053,0.26618643
193,0.07881420,0.70064012
194,-0.06052556,-0.84710398
195,-0.08416460,-0.70291292
196,0.06320441,0.86096869
197,-0.07491170,-0.70026483
198,0.08066173,-0.16478317
199,0.05993364,0.60297728
200,-0.00600769,-0.90629855
201,0.06973454,-0.34326791
202,-0.04257121,0.42580197
203,0.03392982,-0.07035823
204,0.06497399,0.79681242
205,-0.07196882,0.29770587
206,0.05494846,0.61090640
207,0.01706018,-0.02745799
208,-0.01983899,0.43636051
209,0.05466561,0.90482536
210,0.03204147,-0.43724858
211,-0.06479780,0.25788815
212,0.08053576,-0.99471838
213,-0.07139805,-0.67342585
214,0.04818025,-0.38563884
215,0.07372182,-0.23854011
216,-0.06213304,-0.63415975
217,0.04648174,0.89153634
218,-0.08146326,0.22145729
219,0.05583983,0.80967272
220,0.06094571,0.80752932
221,-0.04360513,0.35388348
222,0.05486531,0.60417020
223,0.04767841,0.83459489
224,-0.08734218,0.25321905
225,-0.05513584,-0.60800010
226,0.05253277,0.84529391
227,-0.05234247,0.40430798
228,-0.07109773,0.27144408
229,0.00918986,0.49718875
230,-0.03393613,0.08330937
231,0.01478914,0.99311842
232,0.12574025,-0.99999989
233,-0.05238325,-0.67866582
234,-0.03599819,0.09750119
235,0.01104237,0.98377552
236,0.06697432,-0.17063044
237,0.03457365,-0.08024475
238,-0.05366169,0.38072871
239,0.00279390,-0.49489516
240,0.00119974,0.94253047
241,0.05920815,-0.98494928
242,0.05881002,-0.29192147
243,-0.06634699,0.26052473
244,-0.05641324,0.36143443
245,-0.03495980,-0.87286916
246,-0.07418872,0.32194327
247,-0.08302151,-0.70621358
248,-0.05154355,-0.63037674
249,0.06957145,0.68434595
250,0.08119641,0.64870055
251,-0.02580218,-0.55671531
252,-0.05309680,0.34745690
253,0.05785152,0.62622437
254,-0.02650151,0.42547310
255,0.00702599,0.97619146
256,-0.05699463,-0.86415026
257,-0.07141140,0.22475517
258,-0.07551189,-0.71126941
259,0.06235643,0.78576573
260,0.08358650,-0.99320176
261,0.08813437,-0.25723269
262,0.07994326,-0.24220786
263,0.18997892,-1.03412270
264,0.06945572,-0.29040079
265,-0.07442085,-0.66971668
266,0.15318951,-0.99999986
267,-0.06212605,0.37251736
268,0.04805593,-0.34328300
269,0.04194700,-0.07695120
270,-0.08625623,0.14965256
271,0.03708703,0.88464061
272,0.03521339,0.89572648
273,0.06210412,0.89110884
274,-0.06290088,0.27341405
275,-0.07163168,-0.84549108
276,0.01537849,0.92596022
277,-0.03985481,-0.62770830
278,-0.08051667,-0.77520096
279,-0.02997858,-0.89722910
280,0.08983679,0.74736148
281,-0.02998093,-0.57185144
282,-0.07426362,-0.80996821
283,-0.06170580,0.23220244
284,0.01163953,0.96321631
285,0.07174706,-0.12515830
286,-0.02364444,0.44476774
287,-0.06061531,0.22568713
288,0.08362153,0.75220326
289,0.06185963,-0.12214057
290,-0.07026449,-0.63889378
291,0.04271422,-0.39433365
292,-0.05494626,-0.73375644
293,-0.08760498,0.24751268
294,0.03101003,-0.95432960
295,-0.07153645,0.30828219
296,-0.05363783,0.37332558
297,-0.07631899,-0.82896581
298,-0.00887778,0.47423485
299,-0.05533606,0.36069006
300,0.07873609,0.78972735
301,0.02000183,-0.03994000
302,-0.07680855,-0.84973452
303,-0.07113607,0.14816687
304,-0.02009921,0.04228586
305,-0.08820283,-0.67366836
306,0.07088180,-0.29578301
307,0.05944883,-0.37951403
308,-0.08631051,0.28062977
309,-0.06876094,0.24062869
310,-0.02089759,0.42384630
311,-0.04144170,0.10461140
312,-0.05248345,0.37366643
313,0.04002189,-0.37684475
314,-0.05866609,0.30967053
315,0.07381658,-0.18212324
316,0.07610969,-0.15432170
317,-0.03863798,-0.87574019
318,-0.07502275,-0.73684590
319,0.03412177,-0.41839216
320,0.04174202,-0.07759339
321,-0.08252856,-0.84263106
322,-0.06872381,-0.79263261
323,0.03581473,-0.44819761
324,0.06406459,-0.30535052
325,0.05316938,0.63484397
326,-0.07410729,-0.79084102
327,-0.08307565,-0.82999573
328,0.06484331,0.63910334
329,0.07775395,-0.28333812
330,-0.02066251,0.03222846
331,-0.04159742,-0.53873518
332,-0.05144209,-0.85423673
333,0.05153183,-0.38533949
334,-0.04985042,0.09620035
335,-0.02512952,-0.89879944
336,0.06703490,0.70385296
337,0.08406919,0.73745593
338,0.03330776,-0.96122151
339,0.01381203,-0.47646597
340,0.03498050,-0.44306995
341,0.01601146,-0.02848656
342,0.06230246,-0.24712455
343,0.08379527,-0.99151818
344,0.13682896,-1.00000003
345,-0.00050932,0.00459445
346,-0.02230260,-0.89382724
347,-0.03361258,0.07839994
348,-0.04820627,0.39992542
349,0.07604453,-0.31319912
350,-0.05034554,0.31120183
351,-0.00318585,0.00624195
352,0.05986241,0.82225444
353,0.00737954,0.98522136
354,0.06502380,0.71647378
355,0.02717508,-0.44609758
356,-0.06672612,-0.71680247
357,-0.00253900,0.53228011
358,-0.06305822,0.34528458
359,-0.03075635,0.42077021
360,-0.04249404,0.43971127
361,0.06202335,0.67749038
362,0.11513907,-0.99923857
363,-0.06518864,0.24237121
364,0.00325963,-0.50862193
365,0.04642678,-0.09364861
366,0.00420115,0.00890405
367,0.04294091,0.87454165
368,0.01745584,-0.07414486
369,-0.06130056,-0.71593123
370,0.06212656,-0.29461741
371,-0.07336456,-0.67263967
372,-0.04280278,0.11359740
373,0.02771758,0.54673846
374,-0.05756846,0.30386280
375,0.08643586,0.77266275
376,-0.00737756,0.03347029
377,-0.00737226,-0.51287258
378,-0.07839629,0.25258519
379,-0.07860188,-0.82489016
380,0.05511370,-0.35688487
381,0.00725640,0.50405566
382,-0.04641982,-0.60098522
383,0.06923412,0.71634317
384,0.07475260,-0.23154194
385,0.10392456,-0.99908184
386,0.04298113,0.57250529
387,0.06795802,0.63686976
388,0.02553457,0.94414139
389,-0.05299065,-0.65091481
390,0.03178902,-0.06204021
391,-0.04336889,-0.86796235
392,0.06397588,-0.12723810
393,-0.06740640,0.16320002
394,0.05259675,0.58122895
395,-0.04365168,0.10473184
396,-0.09079696,0.25101307
397,0.06281140,0.73117172
398,-0.02138596,0.44100382
399,-0.01711511,0.00846377
400,-0.05745323,0.09323915
401,0.00867254,0.52998655
402,-0.01345837,-0.55367801
403,0.05909136,0.75311813
404,-0.06633213,0.28856069
405,-0.01675963,0.04920169
406,-0.05685212,-0.85667363
407,0.02549721,-0.44085265
408,-0.09154309,0.22834511
409,-0.05687988,-0.80057779
410,0.08363507,0.70052179
411,-0.08750483,-0.85289361
412,0.06597546,0.60047823
413,-0.03680833,0.39698531
414,-0.06338799,0.31552260
415,-0.06914402,0.22837109
416,0.04768321,0.58793767
417,0.06090317,0.87837320
418,0.01396985,-0.93522634
419,-0.02706650,0.06057187
420,0.04290346,-0.42243574
421,-0.00107250,-0.02578236
422,0.02865344,-0.43091489
423,0.02128276,-0.94607620
424,-0.08624873,-0.75941375
425,-0.03709308,-0.61323153
426,-0.07230784,-0.72438141
427,0.03125510,-0.40913801
428,-0.03637593,-0.56487237
429,0.06774271,0.80832453
430,-0.06735438,-0.67168999
431,0.00082082,0.50342507
432,0.07821421,0.65384424
433,0.01295509,0.52121730
434,0.07984426,0.82393931
435,-0.00928068,-0.50963920
436,0.06940795,-0.13294170
437,-0.03445044,0.07237796
438,0.07260755,0.70712775
439,-0.04122747,-0.60635165
440,0.08086817,-0.13541409
441,-0.06494718,-0.84157811
442,0.06540250,0.77726303
443,0.01480910,0.93560112
444,0.00434534,-0.02680341
445,0.13972435,-1.00000003
446,0.08115911,-0.99233251
447,0.07456170,0.82240986
448,0.08618597,-0.24059368
449,0.07153094,-0.24538055
450,-0.06246952,0.30220673
451,0.06567514,-0.36618030
452,0.07862336,-0.26553739
453,0.06637733,0.71111693
454,0.05575716,-0.37930144
455,-0.04626598,0.40979858
456,0.01644871,0.94084263
457,0.15444503,-1.00000004
458,-0.06050520,-0.63958585
459,-0.04972993,0.43403213
460,-0.06734041,0.31754729
461,0.07078703,-0.25686057
462,-0.04654954,0.14962911
463,0.05811577,0.70043641
464,0.01383844,-0.48594204
465,0.05756035,-0.35866405
466,-0.05433582,0.33452479
467,-0.05663414,0.14794446
468,0.07840145,-0.26093147
469,-0.06887779,0.31547462
470,-0.05789140,0.17103957
471,-0.02208804,0.10650004
472,0.02779691,-0.05288303
473,0.00091587,0.98243929
474,0.04466259,0.87503706
475,-0.04969570,0.06736373
476,0.02158687,0.94678956
477,0.02242968,-0.42933110
478,0.07283583,-0.16906448
479,0.07098216,0.73871613
480,0.05099320,-0.34463381
481,-0.07087589,0.28506272
482,0.04191601,0.84330769
483,-0.05355003,0.37944056
484,-0.05028586,-0.57111652
485,-0.05606052,-0.64960599
486,0.02549073,-0.03327541
487,0.06471305,-0.21977419
488,-0.09380028,-0.66863205
489,0.04957414,0.81855210
490,0.05780771,0.85225669
491,0.03199254,-0.07597462
492,-0.03888900,0.42713625
493,0.04331890,0.87628215
494,0.08375027,-0.26843391
495,-0.06234257,0.34298042
496,-0.06054917,0.37431297
497,0.06189798,0.67336948
498,-0.07054190,-0.72506304
499,-0.07871576,-0.83273755
500,0.05512381,-0.32556468
501,-0.04109834,0.08321861
502,-0.07763705,-0.73250825
503,0.07438991,0.80613648
504,0.05208090,-0.39729606
505,-0.03880600,-0.57949897
506,0.05876971,-0.37287939
507,0.05786922,-0.35492172
508,0.00830319,0.98716524
509,0.02827670,0.54337693
510,0.03040517,-0.44709543
511,-0.07366475,0.20081510
512,0.08200928,-0.20309657
513,-0.07095432,0.25406183
514,0.04316194,0.57119326
515,-0.07144942,-0.67884121
516,-0.06784701,0.19553113
517,0.02825672,0.54142655
518,0.06867598,-0.26247787
519,-0.05058985,0.41617748
