neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
78,-1.874233,-0.683218,9.907404e-04,3.028053e-04,-4.432044e-04,1,1
75,-1.616262,-0.425332,8.764063e-04,1.885092e-04,-4.432044e-04,1,1
41,-1.469593,-0.279504,8.114018e-04,1.238775e-04,-4.432044e-04,1,1
34,-1.000001,0.380403,6.032768e-04,-1.685961e-04,-4.432044e-04,1,1
2,-1.000001,0.353782,6.032768e-04,-1.567978e-04,-4.432044e-04,1,1
60,-1.000001,0.364613,6.032767e-04,-1.615982e-04,-4.432044e-04,1,1
51,-1.000001,0.347955,6.032767e-04,-1.542153e-04,-4.432044e-04,1,1
71,-1.000001,0.389037,6.032767e-04,-1.724228e-04,-4.432044e-04,1,1
76,-1.000001,0.366686,6.032767e-04,-1.625168e-04,-4.432044e-04,1,1
92,-1.000001,0.361741,6.032767e-04,-1.603250e-04,-4.432044e-04,1,1
18,-1.000001,0.327007,6.032767e-04,-1.449311e-04,-4.432044e-04,1,1
22,-1.000001,0.271352,6.032766e-04,-1.202646e-04,-4.432044e-04,1,1
49,-1.000001,0.255060,6.032766e-04,-1.130439e-04,-4.432044e-04,1,1
15,-1.000001,0.243523,6.032766e-04,-1.079306e-04,-4.432044e-04,1,1
38,-1.000001,0.250954,6.032766e-04,-1.112238e-04,-4.432044e-04,1,1
72,-1.000000,0.078583,6.032764e-04,-3.482852e-05,-4.432044e-04,1,1
79,-0.892381,-0.192364,5.485842e-04,7.395391e-05,-3.844470e-04,1,1
45,-0.867085,-0.214204,5.386835e-04,8.722716e-05,-4.072152e-04,1,1
37,-0.846846,-0.240836,5.300118e-04,1.080105e-04,-4.484819e-04,1,1
1,-0.774060,-0.161804,4.983744e-04,6.611294e-05,-4.085994e-04,1,1
83,-0.760838,-0.159088,4.929089e-04,6.669790e-05,-4.192521e-04,1,1
43,-0.731334,-0.144435,4.802256e-04,6.267017e-05,-4.339001e-04,1,1
85,-0.674428,-0.099360,4.567588e-04,3.910238e-05,-3.935430e-04,1,1
28,-0.673054,-0.099507,4.562143e-04,3.948753e-05,-3.968313e-04,1,1
21,-0.639752,-0.084032,4.428626e-04,3.399758e-05,-4.045779e-04,1,1
95,-0.620444,-0.090348,4.349132e-04,3.772165e-05,-4.175130e-04,1,1
25,-0.605111,-0.073808,4.284012e-04,3.170013e-05,-4.294921e-04,1,1
59,-0.594968,-0.064803,4.240014e-04,2.823322e-05,-4.356777e-04,1,1
11,-0.558709,-0.074840,4.083282e-04,3.165838e-05,-4.230130e-04,1,1
54,-0.534734,-0.058461,3.982949e-04,2.420843e-05,-4.140981e-04,1,1
94,-0.518494,-0.071434,3.915996e-04,2.938886e-05,-4.114099e-04,1,1
19,-0.488487,-0.079349,3.792916e-04,3.268079e-05,-4.118625e-04,1,1
14,-0.473950,-0.081411,3.732806e-04,3.379511e-05,-4.151151e-04,1,1
13,-0.442053,-0.079116,3.600233e-04,3.260654e-05,-4.121335e-04,1,1
36,-0.396133,-0.046121,3.416279e-04,1.803632e-05,-3.910657e-04,1,1
5,-0.391624,-0.049182,3.398631e-04,1.927572e-05,-3.919247e-04,1,1
86,-0.381893,-0.035634,3.360430e-04,1.401511e-05,-3.933110e-04,1,1
3,-0.349994,-0.022767,3.235349e-04,8.902257e-06,-3.910156e-04,0,1
64,-0.347794,-0.029418,3.226742e-04,1.152552e-05,-3.917834e-04,0,1
50,-0.343747,-0.033595,3.210886e-04,1.316194e-05,-3.917834e-04,0,1
65,-0.321622,-0.020976,3.124299e-04,8.163500e-06,-3.891876e-04,0,1
8,-0.286082,-0.038574,2.987094e-04,1.491796e-05,-3.867378e-04,1,1
93,-0.274163,-0.038122,2.940662e-04,1.494805e-05,-3.921081e-04,1,1
30,-0.273737,-0.040891,2.938992e-04,1.603359e-05,-3.921081e-04,1,1
47,-0.228533,-0.034112,2.758374e-04,1.369207e-05,-4.013871e-04,0,1
97,-0.210896,-0.046587,2.687299e-04,1.883051e-05,-4.041982e-04,1,1
0,-0.162655,-0.056836,2.494471e-04,2.227620e-05,-3.919357e-04,1,1
23,-0.039031,-0.038679,2.067019e-04,1.231445e-05,-3.183721e-04,1,1
12,-0.010414,-0.011650,1.973468e-04,3.903317e-06,-3.350462e-04,0,1
17,0.002593,-0.005927,1.929492e-04,2.029004e-06,-3.423405e-04,0,1
42,0.021739,-0.003136,1.863523e-04,1.086684e-06,-3.465135e-04,0,1
6,0.041823,0.019310,1.793911e-04,-6.671557e-06,-3.455049e-04,0,1
58,0.060795,0.012956,1.729104e-04,-4.381038e-06,-3.381486e-04,0,1
33,0.069703,0.002049,1.699185e-04,-6.836159e-07,-3.336433e-04,0,1
80,0.099040,0.017450,1.603273e-04,-5.556152e-06,-3.184091e-04,0,1
57,0.112142,0.019487,1.561978e-04,-6.084424e-06,-3.122230e-04,0,1
91,0.140659,0.037567,1.475484e-04,-1.113522e-05,-2.964082e-04,1,1
39,0.181471,0.033956,1.356345e-04,-9.877643e-06,-2.908912e-04,0,1
74,0.212476,0.003907,1.265466e-04,-1.157036e-06,-2.961464e-04,0,1
16,0.216545,0.019244,1.253380e-04,-5.718187e-06,-2.971399e-04,0,1
31,0.259142,0.039397,1.126291e-04,-1.147493e-05,-2.912638e-04,1,1
99,0.259381,0.018816,1.125596e-04,-5.480276e-06,-2.912638e-04,0,1
32,0.264566,0.020220,1.110549e-04,-5.806128e-06,-2.871541e-04,0,1
63,0.265149,0.008448,1.108877e-04,-2.425867e-06,-2.871541e-04,0,1
70,0.284273,0.022147,1.055181e-04,-6.054134e-06,-2.733649e-04,0,1
44,0.291262,0.003604,1.036172e-04,-9.738850e-07,-2.702037e-04,0,1
88,0.301695,0.013251,1.008349e-04,-3.498585e-06,-2.640183e-04,0,1
82,0.310557,0.033735,9.852732e-05,-8.676760e-06,-2.572069e-04,0,1
90,0.321878,0.021533,9.565700e-05,-5.393697e-06,-2.504817e-04,0,1
55,0.330699,0.031161,9.347764e-05,-7.615808e-06,-2.444044e-04,0,1
77,0.335694,0.020311,9.226280e-05,-4.913122e-06,-2.418998e-04,0,1
26,0.352990,0.016901,8.811458e-05,-4.037367e-06,-2.388812e-04,0,1
40,0.373222,0.041109,8.327244e-05,-9.862708e-06,-2.399161e-04,1,1
46,0.399521,0.039081,7.695175e-05,-9.349685e-06,-2.392367e-04,1,1
81,0.405990,0.048841,7.540807e-05,-1.161013e-05,-2.377148e-04,1,1
7,0.434955,0.063619,6.860979e-05,-1.466069e-05,-2.304450e-04,1,1
84,0.449507,0.055033,6.529285e-05,-1.233975e-05,-2.242252e-04,1,1
66,0.486623,0.077203,5.714221e-05,-1.634773e-05,-2.117501e-04,1,1
29,0.491830,0.077100,5.605410e-05,-1.597116e-05,-2.071479e-04,1,1
87,0.534842,0.102747,4.747254e-05,-1.991899e-05,-1.938640e-04,1,1
27,0.566253,0.116345,4.155465e-05,-2.102788e-05,-1.807378e-04,1,1
69,0.595216,0.118253,3.654184e-05,-1.953075e-05,-1.651608e-04,1,1
56,0.636618,0.125244,2.982472e-05,-1.977942e-05,-1.579275e-04,1,1
