neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
3296,-1.123160,0.286936,-1.202447e-02,2.314495e-03,8.066254e-03,1,0
3478,-1.092227,0.255719,-1.177496e-02,2.062695e-03,8.066254e-03,1,0
1426,-1.085967,0.252074,-1.172446e-02,2.033292e-03,8.066254e-03,1,0
542,-1.080062,0.242338,-1.167683e-02,1.954761e-03,8.066254e-03,1,0
903,-1.067459,0.232163,-1.157517e-02,1.872683e-03,8.066254e-03,1,0
2461,-1.067276,0.230568,-1.157369e-02,1.859817e-03,8.066254e-03,1,0
2827,-1.062528,0.223863,-1.153540e-02,1.805740e-03,8.066254e-03,1,0
67,-1.055254,0.219667,-1.147672e-02,1.771890e-03,8.066254e-03,1,0
334,-1.050233,0.214754,-1.143622e-02,1.732263e-03,8.066254e-03,1,0
289,-1.043347,0.203882,-1.138068e-02,1.644562e-03,8.066254e-03,1,0
1421,-1.041262,0.206380,-1.136386e-02,1.664711e-03,8.066254e-03,1,0
2318,-1.036594,0.197538,-1.132620e-02,1.593389e-03,8.066254e-03,1,0
340,-1.033239,0.193605,-1.129914e-02,1.561666e-03,8.066254e-03,1,0
3146,-1.032225,0.192929,-1.129096e-02,1.556215e-03,8.066254e-03,1,0
3359,-1.026578,0.186764,-1.124541e-02,1.506488e-03,8.066254e-03,1,0
3347,-1.025761,0.192926,-1.123882e-02,1.556186e-03,8.066254e-03,1,0
3138,-1.021548,0.185793,-1.120484e-02,1.498655e-03,8.066254e-03,1,0
1686,-1.021145,0.182882,-1.120159e-02,1.475172e-03,8.066254e-03,1,0
251,-1.019479,0.185017,-1.118815e-02,1.492398e-03,8.066254e-03,1,0
464,-1.017823,0.180621,-1.117479e-02,1.456936e-03,8.066254e-03,1,0
3286,-1.015229,0.177536,-1.115387e-02,1.432048e-03,8.066254e-03,1,0
2664,-1.015056,0.179524,-1.115247e-02,1.448086e-03,8.066254e-03,1,0
799,-1.013076,0.176441,-1.113651e-02,1.423219e-03,8.066254e-03,1,0
2571,-1.013043,0.172470,-1.113624e-02,1.391188e-03,8.066254e-03,1,0
3426,-1.007203,0.171403,-1.108913e-02,1.382583e-03,8.066254e-03,1,0
1511,-1.006984,0.169975,-1.108736e-02,1.371063e-03,8.066254e-03,1,0
1549,-1.005211,0.172250,-1.107307e-02,1.389410e-03,8.066254e-03,1,0
2135,-1.002524,0.164652,-1.105139e-02,1.328126e-03,8.066254e-03,1,0
2301,-1.002330,0.163317,-1.104982e-02,1.317357e-03,8.066254e-03,1,0
1038,-1.001503,0.165850,-1.104315e-02,1.337788e-03,8.066254e-03,1,0
