neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
605,-1.476182,0.519856,-1.565151e-02,4.804882e-03,9.242719e-03,1,0
928,-1.229581,0.273716,-1.337225e-02,2.529876e-03,9.242719e-03,1,0
999,-1.227977,0.271366,-1.335742e-02,2.508158e-03,9.242719e-03,1,0
625,-1.202468,0.245131,-1.312165e-02,2.265680e-03,9.242719e-03,1,0
187,-1.192444,0.235453,-1.302900e-02,2.176228e-03,9.242719e-03,1,0
219,-1.163757,0.206964,-1.276386e-02,1.912913e-03,9.242719e-03,1,0
998,-1.131349,0.174161,-1.246432e-02,1.609725e-03,9.242719e-03,1,0
590,-1.114085,0.157435,-1.230475e-02,1.455129e-03,9.242719e-03,1,0
503,-1.103433,0.147206,-1.220630e-02,1.360582e-03,9.242719e-03,1,0
835,-1.047518,0.091252,-1.168949e-02,8.434135e-04,9.242719e-03,1,0
456,-1.016947,0.060512,-1.140694e-02,5.592944e-04,9.242719e-03,1,0
130,-1.015170,0.057578,-1.139051e-02,5.321769e-04,9.242719e-03,1,0
916,-0.901002,-0.119595,-1.123025e-02,-7.746134e-04,6.476947e-03,1,0
840,-0.899478,-0.115058,-1.122035e-02,-9.066441e-04,7.879899e-03,1,0
447,-0.899466,-0.143689,-1.122026e-02,-1.132257e-03,7.879899e-03,1,0
875,-0.898818,-0.131480,-1.121515e-02,-1.036050e-03,7.879899e-03,1,0
499,-0.898722,-0.144945,-1.121440e-02,-1.142151e-03,7.879899e-03,1,0
380,-0.898624,-0.159789,-1.121363e-02,-1.259123e-03,7.879899e-03,1,0
301,-0.898620,-0.160461,-1.121360e-02,-1.264418e-03,7.879899e-03,1,0
399,-0.898502,-0.177885,-1.121266e-02,-1.401715e-03,7.879899e-03,1,0
701,-0.898493,-0.179238,-1.121259e-02,-1.412376e-03,7.879899e-03,1,0
197,-0.898475,-0.182213,-1.121245e-02,-1.435823e-03,7.879899e-03,1,0
217,-0.898450,-0.186228,-1.121225e-02,-1.467456e-03,7.879899e-03,1,0
450,-0.898448,-0.186320,-1.121224e-02,-1.468181e-03,7.879899e-03,1,0
308,-0.898416,-0.191587,-1.121199e-02,-1.509686e-03,7.879899e-03,1,0
42,-0.898388,-0.196126,-1.121177e-02,-1.545451e-03,7.879899e-03,1,0
785,-0.898383,-0.196844,-1.121173e-02,-1.551114e-03,7.879899e-03,1,0
983,-0.898360,-0.199956,-1.121154e-02,-1.575632e-03,7.879899e-03,1,0
420,-0.898347,-0.201954,-1.121144e-02,-1.591377e-03,7.879899e-03,1,0
14,-0.898347,-0.201998,-1.121144e-02,-1.591724e-03,7.879899e-03,1,0
206,-0.898344,-0.202467,-1.121142e-02,-1.595422e-03,7.879899e-03,1,0
280,-0.898336,-0.203858,-1.121136e-02,-1.606378e-03,7.879899e-03,1,0
715,-0.898329,-0.204856,-1.121130e-02,-1.614243e-03,7.879899e-03,1,0
764,-0.898327,-0.205096,-1.121129e-02,-1.616135e-03,7.879899e-03,1,0
784,-0.898323,-0.206812,-1.121125e-02,-1.629655e-03,7.879899e-03,1,0
106,-0.898303,-0.209102,-1.121110e-02,-1.647704e-03,7.879899e-03,1,0
643,-0.898294,-0.209911,-1.121103e-02,-1.654078e-03,7.879899e-03,1,0
492,-0.898282,-0.211938,-1.121093e-02,-1.670053e-03,7.879899e-03,1,0
252,-0.898280,-0.212827,-1.121091e-02,-1.677053e-03,7.879899e-03,1,0
418,-0.898275,-0.213626,-1.121088e-02,-1.683354e-03,7.879899e-03,1,0
310,-0.898266,-0.214572,-1.121080e-02,-1.690804e-03,7.879899e-03,1,0
6,-0.898257,-0.216592,-1.121073e-02,-1.706726e-03,7.879899e-03,1,0
517,-0.898252,-0.217304,-1.121070e-02,-1.712338e-03,7.879899e-03,1,0
886,-0.898231,-0.220110,-1.121053e-02,-1.734447e-03,7.879899e-03,1,0
673,-0.898230,-0.220403,-1.121052e-02,-1.736757e-03,7.879899e-03,1,0
95,-0.898226,-0.220953,-1.121049e-02,-1.741086e-03,7.879899e-03,1,0
633,-0.898211,-0.223987,-1.121037e-02,-1.764998e-03,7.879899e-03,1,0
950,-0.898208,-0.223651,-1.121035e-02,-1.762349e-03,7.879899e-03,1,0
120,-0.898208,-0.224457,-1.121035e-02,-1.768699e-03,7.879899e-03,1,0
712,-0.898202,-0.224702,-1.121030e-02,-1.770633e-03,7.879899e-03,1,0
502,-0.898201,-0.225570,-1.121029e-02,-1.777471e-03,7.879899e-03,1,0
750,-0.898195,-0.225988,-1.121024e-02,-1.780761e-03,7.879899e-03,1,0
907,-0.898192,-0.226474,-1.121022e-02,-1.784590e-03,7.879899e-03,1,0
987,-0.898191,-0.226299,-1.121022e-02,-1.783212e-03,7.879899e-03,1,0
722,-0.898191,-0.226358,-1.121021e-02,-1.783679e-03,7.879899e-03,1,0
53,-0.898190,-0.226778,-1.121020e-02,-1.786988e-03,7.879899e-03,1,0
43,-0.898185,-0.227569,-1.121017e-02,-1.793224e-03,7.879899e-03,1,0
530,-0.898185,-0.227559,-1.121017e-02,-1.793146e-03,7.879899e-03,1,0
4,-0.898181,-0.228133,-1.121014e-02,-1.797662e-03,7.879899e-03,1,0
714,-0.898179,-0.228397,-1.121012e-02,-1.799742e-03,7.879899e-03,1,0
727,-0.898169,-0.229664,-1.121004e-02,-1.809732e-03,7.879899e-03,1,0
354,-0.898166,-0.230652,-1.121002e-02,-1.817515e-03,7.879899e-03,1,0
644,-0.898161,-0.231030,-1.120998e-02,-1.820490e-03,7.879899e-03,1,0
224,-0.898157,-0.231646,-1.120995e-02,-1.825346e-03,7.879899e-03,1,0
674,-0.898153,-0.232142,-1.120992e-02,-1.829254e-03,7.879899e-03,1,0
415,-0.898146,-0.233849,-1.120986e-02,-1.842704e-03,7.879899e-03,1,0
570,-0.898142,-0.234539,-1.120983e-02,-1.848146e-03,7.879899e-03,1,0
400,-0.898124,-0.237373,-1.120968e-02,-1.870478e-03,7.879899e-03,1,0
702,-0.898121,-0.237776,-1.120966e-02,-1.873652e-03,7.879899e-03,1,0
158,-0.898118,-0.238260,-1.120964e-02,-1.877468e-03,7.879899e-03,1,0
139,-0.898116,-0.238278,-1.120962e-02,-1.877610e-03,7.879899e-03,1,0
935,-0.898106,-0.239815,-1.120955e-02,-1.889718e-03,7.879899e-03,1,0
768,-0.898105,-0.240002,-1.120954e-02,-1.891190e-03,7.879899e-03,1,0
484,-0.898103,-0.240405,-1.120952e-02,-1.894370e-03,7.879899e-03,1,0
325,-0.898101,-0.240662,-1.120950e-02,-1.896392e-03,7.879899e-03,1,0
945,-0.898095,-0.241041,-1.120946e-02,-1.899378e-03,7.879899e-03,1,0
117,-0.898090,-0.242890,-1.120942e-02,-1.913949e-03,7.879899e-03,1,0
498,-0.898089,-0.243121,-1.120941e-02,-1.915770e-03,7.879899e-03,1,0
607,-0.898087,-0.243340,-1.120940e-02,-1.917495e-03,7.879899e-03,1,0
169,-0.898087,-0.242350,-1.120939e-02,-1.909695e-03,7.879899e-03,1,0
23,-0.898083,-0.242894,-1.120937e-02,-1.913984e-03,7.879899e-03,1,0
126,-0.898081,-0.244261,-1.120935e-02,-1.924751e-03,7.879899e-03,1,0
429,-0.898076,-0.245012,-1.120931e-02,-1.930671e-03,7.879899e-03,1,0
501,-0.761698,0.133279,-9.461633e-03,1.119234e-03,8.397651e-03,1,0
22,-0.758686,0.161884,-9.436379e-03,1.309431e-03,8.088705e-03,1,0
942,-0.758406,0.170500,-9.434108e-03,1.379125e-03,8.088705e-03,1,0
518,-0.757833,0.184705,-9.429478e-03,1.494023e-03,8.088705e-03,1,0
689,-0.757692,0.188904,-9.428333e-03,1.527988e-03,8.088705e-03,1,0
348,-0.757191,0.232063,-9.424286e-03,1.877093e-03,8.088705e-03,1,0
753,-0.757020,0.249206,-9.422900e-03,2.015752e-03,8.088705e-03,1,0
271,-0.756961,0.255066,-9.422425e-03,2.063156e-03,8.088705e-03,1,0
358,-0.756866,0.264647,-9.421651e-03,2.140654e-03,8.088705e-03,1,0
302,-0.756847,0.266471,-9.421504e-03,2.155403e-03,8.088705e-03,1,0
513,-0.756682,0.283012,-9.420166e-03,2.289202e-03,8.088705e-03,1,0
926,-0.756676,0.283664,-9.420113e-03,2.294478e-03,8.088705e-03,1,0
954,-0.756671,0.284146,-9.420075e-03,2.298371e-03,8.088705e-03,1,0
279,-0.756668,0.284362,-9.420056e-03,2.300121e-03,8.088705e-03,1,0
