neuron_idx,a_j,b_j
212,-0.02763198,0.27990289
213,-0.00872661,0.67237355
214,-0.00159940,0.18588219
215,0.00127033,-0.24726675
216,-0.00611503,0.55177873
217,-0.06161754,-0.99777469
218,-0.00610738,-0.76680916
219,-0.01311216,-0.91721797
220,-0.00323614,0.31440237
221,0.01092681,0.62760988
222,0.00040299,0.26070205
223,-0.07624473,-1.00000075
224,-0.01786339,0.58725239
225,-0.00181503,-0.45335544
226,-0.00297274,0.84436027
227,-0.01376355,0.26458970
228,-0.00229475,0.16352952
229,0.01436091,-0.68029950
230,0.00388947,0.41017590
231,0.01353632,0.84557605
232,-0.00427271,0.39349823
233,0.01657175,-0.12821744
234,0.00893988,0.87441180
235,0.00433143,0.64604461
236,-0.00588889,0.83413226
237,-0.06438846,-0.99387626
238,-0.00547873,0.34978707
239,0.00265772,-0.49995633
240,-0.01895729,-0.25761414
241,-0.01492096,-0.80641141
242,-0.01039786,0.80495462
243,0.00408729,0.85718698
244,0.00004136,-0.18938407
245,0.01666477,-0.37390549
246,-0.01381333,0.62233680
247,-0.00679622,-0.60617566
248,0.00598705,0.99576221
249,-0.06242822,-0.99670075
250,0.31983332,-1.36711943
251,-0.00029399,0.63300564
252,0.00521666,0.87412065
253,-0.00304798,0.20834539
254,0.00889865,-0.77412611
255,-0.00056767,0.58814062
256,-0.00407506,0.46741002
257,0.00382068,-0.76741614
258,-0.06452444,-0.99680002
259,-0.00786846,0.66018314
260,0.00112828,0.54350133
261,0.01875957,-0.40624984
262,0.00395060,0.77824464
263,0.01500311,-0.31831611
264,0.00352709,-0.79962807
265,-0.01122979,0.62154348
266,0.00643967,0.92904764
267,-0.01065222,0.93164567
268,-0.00971447,-0.76556130
269,0.00313247,-0.33606111
270,-0.02395723,-0.01407614
271,-0.00931218,0.33838871
272,-0.00630188,0.82137079
273,0.01821433,0.56915462
274,0.00997738,-0.41887502
275,-0.00341702,0.33745067
276,-0.01170673,-0.30594158
277,0.01649165,0.12096737
278,-0.00467745,0.87260870
279,-0.01876260,0.99869856
280,0.01887167,0.05481409
281,0.00520065,0.09085250
282,0.00634151,-0.66099115
283,0.01540175,-0.44826131
284,0.00035121,0.90216103
285,0.01404301,-0.62971726
286,0.00115610,0.92604356
287,0.01186747,0.37339584
288,0.01664797,-0.36605829
289,-0.01293593,-0.92813107
290,-0.00644969,-0.63488782
291,-0.00366780,0.98741931
292,0.01957722,0.79650149
293,-0.01341132,-0.27767402
294,0.00286507,0.95297306
295,-0.00720754,0.90384557
296,-0.00278423,0.06729071
297,0.00022983,-0.29605663
298,-0.00005409,0.62111998
299,0.00994568,-1.05544513
300,0.01331210,0.99816769
301,0.00129988,-0.59614213
302,-0.01139633,0.45737396
303,-0.00867272,0.97513114
304,0.00208604,-0.23621372
305,-0.01840648,-0.48122815
306,0.00236593,0.13914485
307,0.00844233,0.18049680
308,-0.01600461,-0.24573133
309,0.00184384,0.54642203
310,0.01505500,-0.16266857
311,0.00514991,0.22109654
312,0.00229851,-0.38098797
313,-0.01203813,0.87494974
314,0.00793079,-0.74334185
315,-0.00172497,0.42655470
316,0.00788502,-0.78693845
317,0.00821300,-0.70924757
318,0.00134597,-0.03706855
319,0.00083826,-0.83308606
320,0.19732584,-1.24572317
321,-0.01064336,-0.02172609
322,0.00443412,0.62305406
323,0.01468777,-0.45592930
324,-0.00033154,-0.25677523
325,-0.00616046,-0.50194192
326,0.00017835,0.27720005
327,-0.01083287,0.61603780
328,0.00451611,-0.71371959
329,0.00729231,0.06388174
330,-0.00508525,-0.16912309
331,-0.01773014,-0.85686499
332,0.01188148,0.15809059
333,0.00115525,0.31157466
334,-0.00847670,0.52577876
335,-0.08495914,-1.00000082
336,-0.00366835,0.90588921
337,0.01283666,0.09414998
338,-0.00949422,-0.36288754
339,-0.00099835,0.61593669
340,0.24557151,-1.29345271
341,-0.00037299,0.93515612
342,-0.00908116,-0.35236913
343,0.02297710,0.58267902
344,0.01037408,0.88223716
345,0.00092226,0.99068564
346,0.00050092,0.45189681
347,0.00391435,-0.02163984
348,-0.00691772,0.32519002
349,0.01433653,-0.47708163
350,0.01426531,0.92820470
351,-0.00309275,0.29846754
352,0.00190440,-0.27384328
353,-0.00077413,-0.90879810
354,-0.00195711,-0.42045840
355,-0.00199508,0.26324578
356,0.00442554,0.48128054
357,-0.02197894,-0.52579688
358,-0.00291976,-0.08025200
359,0.00212710,0.46534621
360,-0.02029862,0.74327502
361,-0.01009534,0.73110726
362,0.03614803,0.40928535
363,-0.04434983,-1.00000043
364,0.00693406,0.57549291
365,-0.00568722,0.49979573
366,0.00755657,0.33094586
367,-0.00313525,-0.78127315
368,-0.02778819,0.50915316
369,0.01393125,-0.74249542
370,-0.00429120,-0.77456401
371,-0.00791397,0.35063832
372,0.00441122,0.68418432
373,0.00145506,0.18101200
374,0.00608164,0.25336686
375,0.01750511,0.79349671
376,0.01338944,-0.45855154
377,-0.00292479,0.56932525
378,-0.01106992,0.71881864
379,-0.00046060,-0.49896218
380,0.00152819,-0.33634431
381,0.00656810,-0.52829319
382,0.00456303,-0.41554110
383,0.00341866,-0.64010425
384,-0.00263993,0.50072595
385,-0.00475631,0.75660484
386,0.00554993,-0.05355226
387,0.00331601,0.76353186
388,0.00947794,-0.53375755
389,0.01240151,-0.55290015
390,-0.00404780,0.57984577
391,0.00813901,0.37951472
392,0.00152132,-0.13372316
393,0.00330713,-0.61509031
394,0.01207212,-0.74623722
395,0.00302116,0.34781428
396,-0.01990280,0.16066551
397,-0.00604503,-0.73432010
398,-0.01399951,-1.02937034
399,-0.01605918,0.95635266
400,-0.01492695,-0.04808138
401,-0.00999075,0.83758911
402,-0.05531875,-1.00000054
403,-0.01179170,0.36809158
404,0.00041915,0.09984418
405,0.00324333,0.69800424
406,0.00478983,0.14528423
407,-0.00480534,0.89275808
408,-0.01592709,-0.78041345
409,0.01712631,0.56249687
410,0.01360785,0.93253541
411,-0.02120415,0.93360925
412,0.01429263,0.40703584
413,0.01136233,-0.41970526
414,-0.00046552,0.33977596
415,0.00534624,-0.10947168
416,-0.06752825,-1.00000065
417,0.01290979,0.30506936
418,0.00496798,-0.40686021
419,-0.00919520,-0.92388802
420,-0.06281293,-1.00000062
421,-0.02047153,0.42946669
422,-0.00648265,0.38005272
423,-0.07631156,-1.00000075
424,-0.01242767,0.48807355
425,0.01368301,0.56801646
426,-0.01199547,-0.92863697
427,-0.01170752,0.02362363
428,-0.00366606,-0.06589786
429,0.00966142,-0.66480139
430,0.00075000,-0.76956077
431,-0.00091527,-0.23886150
432,0.01056206,0.53263699
433,-0.00020134,0.17011900
434,0.02130980,-0.09386538
435,-0.00244275,-0.70389208
436,0.00678592,-0.71662508
437,0.00348030,-0.68134278
438,0.00163264,0.10757445
439,0.00535873,0.63266962
440,0.01547148,0.98972413
441,0.00835582,-0.55534461
442,-0.00347209,0.31089452
443,-0.00569427,-0.43903175
444,-0.01068329,-0.33369865
445,0.01344850,0.85985217
446,-0.01523491,-0.93880144
447,0.01289301,0.56849205
448,0.01312775,-0.19367249
449,-0.00464832,0.54298695
450,0.00614058,-0.79878122
451,0.01104040,0.40188967
452,0.00644133,0.81620499
453,-0.00468413,0.88007771
454,0.00880575,-0.68986301
455,-0.00494129,-0.35696273
456,-0.00551136,0.02711120
457,0.01216570,0.33711885
458,0.00220636,-0.56824634
459,-0.02341355,0.39698438
460,-0.00059219,-0.56187425
461,-0.00241383,0.84958457
462,0.01445812,0.51156186
463,-0.00727563,-0.65995327
464,0.00695255,0.81204731
465,0.00063839,0.41150259
466,0.00577610,0.21824195
467,0.00529709,0.12370837
468,0.00952975,-0.68593624
469,-0.00660888,0.56939410
470,0.00888344,0.41560843
471,0.02580545,0.51110517
472,-0.00024580,-0.16942609
473,-0.00264929,0.96819806
474,-0.00444920,0.34831607
475,-0.02218282,0.47138513
476,0.00156485,0.51945653
477,-0.01171101,-0.05488088
478,0.00353307,-0.39000380
479,0.00388377,-0.39970886
480,-0.00827042,0.81329896
481,-0.00336626,0.93088929
482,-0.01602427,0.56156553
483,-0.00439216,0.11164720
484,-0.01207990,-0.64300953
485,0.00821151,-0.23906209
486,0.00894661,-0.14798088
487,-0.01195814,0.41116309
488,-0.08514578,-1.00000083
489,-0.01172581,0.92123230
490,0.00827702,-0.67391683
491,-0.01235377,0.48898140
492,-0.00749858,0.85405887
493,-0.00510025,0.18156984
494,0.01145644,0.17927923
495,-0.00476482,0.44302462
496,-0.01079897,0.31493834
497,-0.00630051,0.93087781
498,0.00306460,0.04334308
499,-0.00745564,0.75472993
500,-0.00691721,-0.07959293
501,-0.00454495,0.59294461
502,0.00166750,-0.67730438
503,0.01065965,0.79546438
504,0.00577191,0.05788515
505,0.00256327,-0.35666436
506,0.00240422,0.69671892
507,-0.00003970,0.23138240
508,0.00425004,0.56939106
509,0.00051759,0.68706750
510,0.00165063,0.49290877
511,-0.00326349,0.75933868
512,0.00772485,-0.03239558
513,-0.00337005,0.65404174
514,0.00325687,0.45108972
515,-0.00467539,0.18683517
516,-0.06528088,-1.00000064
517,0.00587572,0.82168359
518,-0.00768343,0.72453501
519,-0.01109089,-0.45034514
520,-0.01928504,0.98853980
521,0.10264385,-1.14992643
522,-0.01675451,0.40822406
523,-0.00215599,-0.26006585
524,0.00463732,-0.05016594
525,0.00641951,0.90362785
526,0.01060566,-0.85893398
527,0.01035423,-0.38560454
528,0.00829573,0.16972894
529,0.00245332,0.71653753
530,0.00215579,0.00673011
531,-0.07657448,-1.00000075
532,-0.00054210,0.65078822
533,0.00246420,-0.43000546
534,-0.00270555,0.93754584
535,-0.01654398,0.58137885
536,-0.01339855,-0.93448252
537,0.01259990,-0.25235807
538,-0.00243248,-0.68902000
539,0.00423872,0.62094934
540,-0.00093365,-0.48292102
541,-0.01537377,0.44481464
542,0.00578851,0.90856311
543,-0.00047887,0.39140174
544,0.26627915,-1.31452012
545,0.00646090,-0.46247168
546,-0.00316346,0.41892216
547,-0.00622715,0.13940287
548,-0.00668172,-0.54816298
549,0.01299018,-0.21579062
550,0.00389972,-0.04948296
551,0.01101867,0.13503496
552,0.01417585,-0.26301286
553,-0.00611936,0.56954716
554,-0.01463632,-0.24268150
555,-0.02525972,-0.01819720
556,0.00222939,0.26339858
557,0.00334645,-0.37480851
558,-0.00056121,-0.67133298
559,-0.00609722,0.10244707
560,0.00552719,0.67479319
561,-0.01367875,0.85302310
562,0.00079031,-0.70260863
563,-0.01407293,0.42241615
564,0.00497899,-0.33039595
565,0.01022572,0.21556396
566,0.00681629,0.33672174
567,-0.00182310,-0.20010388
568,0.00416670,0.15240255
569,0.00559666,0.73401586
570,0.00358707,-0.62526939
571,-0.09860604,-1.00000096
572,0.01684415,0.67752172
573,-0.00551017,0.93215726
574,0.00116878,0.30467501
575,-0.00546204,0.08936646
576,-0.00357602,-1.04478211
577,-0.00083248,-0.37048486
578,-0.00708595,-0.09998366
579,0.00460985,-0.49471932
580,0.00355343,-0.59330421
581,0.02409282,0.85453985
582,0.01396999,0.71600347
583,-0.00831049,-0.10329012
584,-0.00251876,-0.81734868
585,-0.00030649,0.93207955
586,-0.02089071,-0.20679519
587,0.00453239,0.44364519
588,0.00020658,-0.77325922
589,-0.00211642,-0.25110886
590,-0.01098758,0.50222051
591,0.00679372,-0.31232587
592,0.00843715,0.72966325
593,-0.00557275,0.80253761
594,-0.00024543,-0.24971102
595,-0.02520579,0.86379653
596,0.00573272,-0.46980997
597,-0.00517941,0.24973075
598,0.01063695,0.04431982
599,0.00686227,0.37498759
600,0.00368025,0.84962874
601,-0.01118804,0.39198650
602,0.01446392,-0.23143938
603,0.19104062,-1.23921079
604,-0.00961609,-0.17596551
605,-0.01889188,-0.34331762
606,-0.01279169,0.31892531
607,-0.08222929,-1.00000080
608,0.00634931,-0.55527435
609,-0.00129394,0.35315288
610,-0.00034914,-0.73223729
611,0.01124701,-0.23923884
612,-0.00717943,-0.33871248
613,-0.01914090,0.24925347
614,0.00439018,0.78072185
615,-0.00909514,-0.19553695
616,0.01087464,-0.87484997
617,-0.01303630,-0.28745620
618,0.01606149,0.20966749
619,0.01312181,0.15885814
620,0.01149839,-0.74618631
621,0.00251221,0.19053073
622,0.01121540,-0.61199116
623,-0.00512496,0.25371798
624,0.00871584,-0.62050577
625,-0.00011623,-0.75019089
626,-0.00211663,-0.19661902
627,-0.00802122,-0.22627919
628,0.00885686,-0.34037727
629,0.01324636,-0.42424687
630,0.00118980,-0.00704940
631,-0.01681844,0.60457869
632,0.00564871,0.68911923
633,0.01234380,0.24743088
634,-0.00094802,-0.17518301
635,-0.01254572,0.17627919
636,0.00454753,0.42759216
637,0.01348275,0.17570351
638,-0.01127689,0.28260981
639,0.01042915,0.52024105
640,-0.02953073,0.52664870
641,0.01712032,-0.50432773
642,-0.00802316,0.96569763
643,0.00766815,-0.82631266
644,-0.01585004,0.33766801
645,-0.00106781,0.35654782
646,-0.01058375,0.11760547
647,0.00574754,-0.23391869
648,0.00376353,0.87118061
649,0.00573852,0.41771400
650,0.01009298,0.30031445
651,-0.01046225,-0.91838327
652,0.00109869,0.57008971
653,-0.00361917,0.66406490
654,-0.01392796,-0.06870130
655,-0.00209218,0.18334226
656,0.00018007,0.99469408
657,0.00727425,0.07804946
658,0.00297023,-0.45429759
659,-0.00495831,0.12146107
660,0.01195431,-0.34053710
661,0.01796433,-0.62971129
662,0.01185918,-0.73932811
663,-0.00209445,0.60721503
664,0.00266044,0.67596286
665,0.00048372,-0.02108085
666,0.01792250,0.02169108
667,-0.00434771,0.00866319
668,0.02007731,0.61544702
669,0.02558192,-0.71016220
670,-0.05067255,-0.98511276
671,-0.00905655,0.50794430
672,0.00904199,-0.57901772
673,-0.00529180,-0.36335660
674,-0.01005252,-0.73214271
675,-0.00888254,-0.62256194
676,-0.00335564,-0.19344098
677,-0.06432728,-0.99981035
678,0.01508518,0.58147331
679,0.00910723,-0.09855733
680,0.00705957,-0.28492321
681,0.00238681,-0.39675361
682,0.00218611,0.28994130
683,0.00197594,0.38267145
684,-0.06376206,-0.99769638
685,-0.00202460,0.92640890
686,0.01380982,-0.63621756
687,0.00031458,-0.80601676
688,-0.02202972,-0.92717155
689,0.00098697,-0.56876746
690,0.01096712,-0.51988434
691,-0.01010217,-0.43491205
692,-0.00283890,0.89365529
693,-0.00659714,0.30740505
694,0.00964752,0.40876610
695,-0.00173614,0.17986661
696,-0.00032723,-0.13650637
697,0.00163992,0.12465610
698,-0.00107811,-0.78904004
699,-0.00376432,-0.74810824
700,0.00006237,-0.00615024
701,-0.00318564,0.75763943
702,0.01294475,0.04057236
703,-0.00578684,0.31167046
704,-0.00206697,-0.27497318
705,-0.01010072,-0.52167691
706,-0.01404325,0.75731200
707,0.01280881,-0.06779420
708,-0.00760828,0.23809009
709,0.24097505,-1.28925903
710,-0.00356440,0.38640049
711,0.01163769,-0.58922683
712,0.02521148,0.64492903
713,-0.00170772,-0.58281684
714,-0.00147173,0.96756216
715,-0.01396448,-0.11280526
716,-0.02050055,0.15605559
717,0.00390836,0.15777021
718,0.01943723,-0.71119028
719,0.00043193,0.08483128
720,-0.00869228,0.79517404
721,0.00558669,-0.45198845
722,-0.00945889,0.97665293
723,-0.00622579,0.73874089
724,0.01466324,-0.29132669
725,-0.01219371,-0.93722773
726,-0.00486396,-0.38338187
727,0.02320740,-0.62963898
728,-0.06742757,-0.99872721
729,0.00805813,0.85759130
730,0.00550635,0.55014598
731,-0.02210333,0.34304904
732,-0.02345805,-0.74703589
733,0.00697988,0.72549809
734,0.00876409,0.16016254
735,-0.00829913,0.32284815
736,0.00637469,-0.57946721
737,0.00784085,-0.03154410
738,0.01805303,-0.16468001
739,-0.01055163,-0.03866171
740,0.00116797,0.46934847
741,-0.01209987,-0.26593685
742,-0.00561193,0.92869802
743,-0.01457202,-0.32822487
744,0.00943232,-0.55214546
745,0.00730480,-0.33118132
746,0.01628038,-0.22963106
747,-0.01031419,0.56557187
748,-0.00002073,-0.58938104
749,-0.00972619,-0.32350167
750,-0.01022099,0.59011939
751,-0.01112734,0.26314520
752,0.00996948,-0.51882936
753,0.01087119,0.01898096
754,-0.06750878,-0.99737627
755,0.00545004,-0.60968325
756,0.00442561,0.87657029
757,-0.00442372,-0.15813793
758,0.01620493,0.73762054
759,-0.02328087,0.64913701
760,-0.00165847,0.80824906
761,0.00723924,-0.54415346
762,-0.00054381,-0.35033041
763,-0.00427705,0.95575697
764,-0.01646841,-0.94122688
765,-0.07765941,-1.00000075
766,0.01663510,-0.02235435
767,0.00539704,-0.48520455
768,-0.01155385,0.97065693
769,0.01793069,-1.06278162
770,-0.00508936,-0.65116411
771,0.00225831,0.66561799
772,0.00404370,0.11656976
773,0.01246670,-0.52235909
774,-0.02350326,0.11806478
775,-0.01021258,-0.33081481
776,0.01756926,-0.65905252
777,0.00825827,0.45780414
778,0.02411737,-0.13878485
779,-0.00340096,-0.78609912
780,-0.01234913,-0.55779773
781,0.00700521,0.88628843
782,-0.00751768,0.37131372
783,-0.00070293,0.16194246
784,0.01502199,-0.19190610
785,0.01281802,0.12531220
786,-0.00466347,-0.06130632
787,0.00913495,-0.53176669
788,0.01097900,0.48356077
789,-0.00476637,0.08220443
790,0.00930445,-0.75580946
791,-0.00770207,-0.45379739
792,0.00452798,-0.12850824
793,0.00379575,0.22393103
794,0.00207517,0.77367787
795,-0.00202596,-0.00728081
796,-0.01423364,0.70122534
797,0.01323715,-0.46649355
798,-0.00045597,0.81917001
799,-0.00070851,-0.50530665
800,-0.00377209,-0.31596564
801,0.01883653,-0.64257141
802,0.00387814,0.81420835
803,-0.01139708,0.00633810
804,-0.01627315,0.92653137
805,0.02173837,-0.78429657
806,0.00461927,-0.06166365
807,0.00564171,0.25713644
808,0.02069405,0.04545353
809,0.00426462,0.60037968
810,0.00776063,-0.15160487
811,-0.00539986,0.68398013
812,0.00196788,-0.50229231
813,-0.00354135,-0.67719140
814,-0.00987564,0.14854609
815,-0.00790906,0.09437169
816,0.00320851,0.50425025
817,-0.00361873,-0.70746071
818,0.00551647,-0.16270613
819,0.01416690,0.45899672
820,-0.00245570,0.08603402
821,0.01224204,-0.46530237
822,0.00356232,0.43893692
823,-0.00141319,-0.63871953
824,0.00612726,-0.09001343
825,0.00434560,0.15759855
826,-0.00690986,-0.55778210
827,-0.06668601,-1.00000064
828,0.00329463,0.19445323
829,0.00884884,-0.01756850
830,-0.00508136,-0.65671968
831,-0.00545499,-0.08869204
832,0.00274950,-0.08825112
833,0.00450098,0.98969615
834,0.00666552,-0.74637293
835,-0.01163677,-1.03364299
836,0.00315852,-0.53260760
837,0.00477120,0.69535016
838,0.01219784,-0.81890629
839,-0.02623748,0.20812444
840,0.00550090,0.12849185
841,0.00610508,-0.56546523
842,-0.00406626,0.96027218
843,-0.08528546,-1.00000083
844,0.01056712,-0.57055967
845,0.00009891,0.42716684
846,-0.00163232,-0.31369096
847,-0.00270218,0.50949887
848,-0.00808784,-0.01229916
849,0.01347972,-0.83612727
850,0.00258840,0.23410643
851,-0.00979105,-0.00532556
852,0.00397078,-0.62982918
853,-0.02564636,0.55167081
854,0.01101874,0.30967001
855,-0.00833720,0.50137918
856,0.00319987,0.05803777
857,0.01133476,-0.12878523
858,0.02084459,-0.76043488
859,0.00463872,-0.59973021
860,0.00247758,-0.46684727
861,-0.00059501,0.74838168
862,0.01178489,-0.51552990
863,0.00666973,-0.80974863
864,0.01740285,-0.60167342
865,0.00055068,-0.52523262
866,-0.01102928,0.99688252
867,-0.00013580,-0.21516846
868,0.00003201,-0.16614844
869,-0.01040849,0.58654977
870,0.00237605,-0.62252760
871,0.00293197,0.18987875
872,0.01065399,-0.48399336
873,0.01102276,0.36726277
874,0.00113864,-0.57663839
875,-0.00233378,0.84252091
876,-0.00635035,0.41471110
877,0.00565866,-0.39038774
878,0.03166361,-0.85818350
879,0.01048667,0.38949866
880,-0.08035951,-1.00000079
881,0.01623459,-0.24870294
882,0.00751398,-0.15204409
883,0.00034612,-0.10815716
884,-0.00153159,0.89773212
885,0.01186210,0.78724802
886,-0.00921948,0.53564964
887,-0.01626324,0.07131371
888,0.02095723,-0.08191333
889,0.03689297,0.16237535
890,0.00667730,0.96432431
891,-0.01241268,0.26485158
892,-0.00264697,-0.10405099
893,0.00513206,0.90938760
894,0.00765368,0.84443805
895,0.01216332,0.04641776
896,0.01527347,-0.17455927
897,-0.02872432,-0.28007344
898,-0.05356516,-0.99003612
899,0.01253716,0.54491808
900,-0.00402728,-0.31460865
901,0.01950423,-0.01677482
902,-0.02597327,0.52084314
903,-0.00669637,-1.03969156
904,-0.00803082,-0.44214643
905,0.00453988,0.64146935
906,0.00172975,0.61385395
907,-0.00716688,0.39204385
908,0.00233268,0.20388485
909,-0.00004485,0.66238483
910,-0.00127393,0.26863594
911,-0.01838211,-0.62947431
912,0.00428139,0.91792210
913,-0.00516556,0.67384761
914,-0.00367032,-0.58571539
915,-0.01507785,-0.20805010
916,0.00828051,0.42052472
917,-0.01067552,-0.61083926
918,0.00366537,-0.00958769
919,0.00613073,0.32392523
920,-0.01570431,0.77526137
921,-0.01061163,0.09411885
922,0.02215975,-0.34509205
923,0.00145842,0.30303714
924,0.01529292,-0.45067733
925,0.00230402,-0.12939513
926,0.00807964,0.54681336
927,0.00718789,0.68224279
928,0.01675363,-0.57151450
929,0.00624607,0.19449926
930,-0.01003610,-0.59564842
931,-0.00775849,0.61065041
