neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
1078,-1.112549,0.388784,-1.011875e-02,2.648141e-03,6.811342e-03,1,0
1581,-1.093701,0.369631,-9.990366e-03,2.517683e-03,6.811342e-03,1,0
769,-1.085175,0.362869,-9.932292e-03,2.471628e-03,6.811342e-03,1,0
669,-1.083652,0.359721,-9.921915e-03,2.450180e-03,6.811342e-03,1,0
166,-1.077816,0.353420,-9.882170e-03,2.407266e-03,6.811342e-03,1,0
363,-1.059026,0.334165,-9.754180e-03,2.276114e-03,6.811342e-03,1,0
1955,-1.056443,0.333905,-9.736588e-03,2.274341e-03,6.811342e-03,1,0
354,-1.053951,0.328256,-9.719618e-03,2.235862e-03,6.811342e-03,1,0
1364,-1.049700,0.326933,-9.690662e-03,2.226854e-03,6.811342e-03,1,0
270,-1.036629,0.314807,-9.601629e-03,2.144257e-03,6.811342e-03,1,0
1603,-1.020846,0.294241,-9.494126e-03,2.004175e-03,6.811342e-03,1,0
56,-1.018254,0.291626,-9.476471e-03,1.986366e-03,6.811342e-03,1,0
213,-1.013948,0.290907,-9.447137e-03,1.981467e-03,6.811342e-03,1,0
1607,-1.009664,0.289105,-9.417962e-03,1.969196e-03,6.811342e-03,1,0
723,-1.000020,0.276896,-9.352274e-03,1.886032e-03,6.811342e-03,1,0
1196,-1.000020,0.270125,-9.352270e-03,1.839915e-03,6.811342e-03,1,0
550,-1.000019,0.262287,-9.352267e-03,1.786527e-03,6.811342e-03,1,0
84,-1.000019,0.256672,-9.352265e-03,1.748284e-03,6.811342e-03,1,0
144,-1.000019,0.255837,-9.352265e-03,1.742594e-03,6.811342e-03,1,0
1548,-1.000018,0.244132,-9.352259e-03,1.662863e-03,6.811342e-03,1,0
63,-1.000018,0.243138,-9.352259e-03,1.656094e-03,6.811342e-03,1,0
1416,-1.000018,0.232205,-9.352255e-03,1.581626e-03,6.811342e-03,1,0
559,-1.000018,0.230368,-9.352255e-03,1.569116e-03,6.811342e-03,1,0
1507,-1.000017,0.227315,-9.352254e-03,1.548321e-03,6.811342e-03,1,0
765,-1.000017,0.221973,-9.352251e-03,1.511934e-03,6.811342e-03,1,0
269,-1.000017,0.227616,-9.352249e-03,1.550372e-03,6.811342e-03,1,0
1141,-1.000016,0.215118,-9.352248e-03,1.465244e-03,6.811342e-03,1,0
715,-1.000016,0.209374,-9.352244e-03,1.426120e-03,6.811342e-03,1,0
1863,-1.000015,0.202529,-9.352236e-03,1.379492e-03,6.811342e-03,1,0
1377,-0.921547,-0.150137,-9.063573e-03,-1.033024e-03,6.880556e-03,1,0
134,-0.921511,-0.146912,-9.063327e-03,-1.010840e-03,6.880556e-03,1,0
1648,-0.921494,-0.145415,-9.063213e-03,-1.000537e-03,6.880556e-03,1,0
1938,-0.921491,-0.145141,-9.063192e-03,-9.986498e-04,6.880556e-03,1,0
1120,-0.921467,-0.142948,-9.063024e-03,-9.835620e-04,6.880556e-03,1,0
871,-0.921428,-0.139438,-9.062756e-03,-9.594122e-04,6.880556e-03,1,0
459,-0.921423,-0.139000,-9.062723e-03,-9.563991e-04,6.880556e-03,1,0
922,-0.921412,-0.138044,-9.062650e-03,-9.498213e-04,6.880556e-03,1,0
539,-0.921408,-0.137684,-9.062622e-03,-9.473428e-04,6.880556e-03,1,0
1587,-0.921384,-0.135485,-9.062455e-03,-9.322121e-04,6.880556e-03,1,0
1402,-0.921331,-0.130657,-9.062087e-03,-8.989939e-04,6.880556e-03,1,0
1162,-0.921323,-0.129977,-9.062035e-03,-8.943171e-04,6.880556e-03,1,0
569,-0.920874,-0.098649,-9.058942e-03,-6.787601e-04,6.880556e-03,1,0
1234,-0.920722,-0.075441,-9.057900e-03,-5.190751e-04,6.880556e-03,1,0
1998,-0.920629,-0.066875,-9.057259e-03,-4.601401e-04,6.880556e-03,1,0
518,-0.920584,-0.062746,-9.056952e-03,-4.317301e-04,6.880556e-03,1,0
759,-0.899456,-0.144548,-8.896801e-03,-9.521756e-04,6.587264e-03,1,0
155,-0.899454,-0.150902,-8.896789e-03,-9.940345e-04,6.587264e-03,1,0
137,-0.899454,-0.151829,-8.896787e-03,-1.000137e-03,6.587264e-03,1,0
427,-0.899454,-0.152817,-8.896785e-03,-1.006648e-03,6.587264e-03,1,0
429,-0.899454,-0.153017,-8.896785e-03,-1.007965e-03,6.587264e-03,1,0
1397,-0.899452,-0.156715,-8.896777e-03,-1.032322e-03,6.587264e-03,1,0
1959,-0.899452,-0.158564,-8.896773e-03,-1.044506e-03,6.587264e-03,1,0
955,-0.899451,-0.160807,-8.896768e-03,-1.059281e-03,6.587264e-03,1,0
160,-0.899451,-0.161282,-8.896767e-03,-1.062407e-03,6.587264e-03,1,0
1686,-0.899450,-0.162447,-8.896764e-03,-1.070080e-03,6.587264e-03,1,0
675,-0.899450,-0.162864,-8.896763e-03,-1.072828e-03,6.587264e-03,1,0
836,-0.899450,-0.163010,-8.896762e-03,-1.073792e-03,6.587264e-03,1,0
1778,-0.899449,-0.165835,-8.896755e-03,-1.092397e-03,6.587264e-03,1,0
281,-0.899449,-0.166366,-8.896754e-03,-1.095897e-03,6.587264e-03,1,0
875,-0.899448,-0.168060,-8.896749e-03,-1.107054e-03,6.587264e-03,1,0
1106,-0.899447,-0.170048,-8.896743e-03,-1.120149e-03,6.587264e-03,1,0
351,-0.899447,-0.170265,-8.896742e-03,-1.121580e-03,6.587264e-03,1,0
864,-0.899447,-0.170619,-8.896741e-03,-1.123913e-03,6.587264e-03,1,0
1293,-0.899447,-0.171071,-8.896740e-03,-1.126889e-03,6.587264e-03,1,0
1869,-0.899447,-0.171342,-8.896739e-03,-1.128674e-03,6.587264e-03,1,0
1509,-0.899446,-0.172728,-8.896735e-03,-1.137805e-03,6.587264e-03,1,0
1551,-0.899445,-0.176900,-8.896727e-03,-1.165289e-03,6.587264e-03,1,0
171,-0.899445,-0.177266,-8.896726e-03,-1.167699e-03,6.587264e-03,1,0
613,-0.899444,-0.178392,-8.896724e-03,-1.175114e-03,6.587264e-03,1,0
609,-0.899424,-0.146719,-8.896591e-03,-9.664750e-04,6.587264e-03,1,0
773,-0.899394,-0.148049,-8.896390e-03,-9.752365e-04,6.587264e-03,1,0
970,-0.899381,-0.148644,-8.896309e-03,-9.791585e-04,6.587264e-03,1,0
834,-0.899351,-0.180147,-8.896111e-03,-1.186676e-03,6.587264e-03,1,0
1115,-0.899349,-0.180196,-8.896097e-03,-1.187000e-03,6.587264e-03,1,0
963,-0.899313,-0.151983,-8.895859e-03,-1.001149e-03,6.587264e-03,1,0
1246,-0.899298,-0.181200,-8.895758e-03,-1.193613e-03,6.587264e-03,1,0
335,-0.899249,-0.155109,-8.895434e-03,-1.021747e-03,6.587264e-03,1,0
961,-0.899236,-0.155672,-8.895352e-03,-1.025452e-03,6.587264e-03,1,0
717,-0.899217,-0.156607,-8.895227e-03,-1.031609e-03,6.587264e-03,1,0
15,-0.899190,-0.157910,-8.895047e-03,-1.040196e-03,6.587264e-03,1,0
1812,-0.899171,-0.158861,-8.894920e-03,-1.046459e-03,6.587264e-03,1,0
211,-0.899154,-0.159654,-8.894812e-03,-1.051683e-03,6.587264e-03,1,0
1703,-0.899136,-0.160540,-8.894692e-03,-1.057517e-03,6.587264e-03,1,0
1414,-0.899131,-0.184463,-8.894662e-03,-1.215109e-03,6.587264e-03,1,0
1541,-0.899130,-0.172415,-8.894650e-03,-1.135742e-03,6.587264e-03,1,0
1014,-0.899095,-0.162510,-8.894423e-03,-1.070496e-03,6.587264e-03,1,0
1832,-0.899082,-0.163120,-8.894340e-03,-1.074513e-03,6.587264e-03,1,0
574,-0.899066,-0.163933,-8.894230e-03,-1.079869e-03,6.587264e-03,1,0
1886,-0.899062,-0.164137,-8.894205e-03,-1.081213e-03,6.587264e-03,1,0
490,-0.899043,-0.165039,-8.894081e-03,-1.087153e-03,6.587264e-03,1,0
685,-0.899033,-0.174732,-8.894015e-03,-1.151007e-03,6.587264e-03,1,0
1462,-0.899026,-0.186582,-8.893966e-03,-1.229065e-03,6.587264e-03,1,0
1410,-0.899018,-0.175107,-8.893918e-03,-1.153473e-03,6.587264e-03,1,0
470,-0.898993,-0.167464,-8.893753e-03,-1.103132e-03,6.587264e-03,1,0
1411,-0.898987,-0.182200,-8.893713e-03,-1.200200e-03,6.587264e-03,1,0
591,-0.898925,-0.170788,-8.893304e-03,-1.125028e-03,6.587264e-03,1,0
1,-0.898916,-0.171181,-8.893244e-03,-1.127615e-03,6.587264e-03,1,0
476,-0.898905,-0.177986,-8.893172e-03,-1.172439e-03,6.587264e-03,1,0
749,-0.898905,-0.171792,-8.893169e-03,-1.131639e-03,6.587264e-03,1,0
310,-0.898897,-0.187858,-8.893118e-03,-1.237473e-03,6.587264e-03,1,0
61,-0.898876,-0.178745,-8.892983e-03,-1.177439e-03,6.587264e-03,1,0
1769,-0.898873,-0.182779,-8.892958e-03,-1.204011e-03,6.587264e-03,1,0
1140,-0.898870,-0.173388,-8.892943e-03,-1.142151e-03,6.587264e-03,1,0
178,-0.898861,-0.173860,-8.892880e-03,-1.145262e-03,6.587264e-03,1,0
626,-0.898853,-0.174245,-8.892829e-03,-1.147798e-03,6.587264e-03,1,0
1419,-0.898852,-0.183220,-8.892821e-03,-1.206916e-03,6.587264e-03,1,0
747,-0.898845,-0.179609,-8.892776e-03,-1.183130e-03,6.587264e-03,1,0
1668,-0.898841,-0.180494,-8.892747e-03,-1.188960e-03,6.587264e-03,1,0
53,-0.898832,-0.179949,-8.892692e-03,-1.185374e-03,6.587264e-03,1,0
336,-0.898832,-0.175295,-8.892688e-03,-1.154714e-03,6.587264e-03,1,0
852,-0.898809,-0.176365,-8.892541e-03,-1.161764e-03,6.587264e-03,1,0
1195,-0.898806,-0.180644,-8.892519e-03,-1.189950e-03,6.587264e-03,1,0
742,-0.898801,-0.176779,-8.892485e-03,-1.164489e-03,6.587264e-03,1,0
1833,-0.898798,-0.143506,-8.892467e-03,-9.453116e-04,6.587264e-03,1,0
38,-0.898798,-0.176939,-8.892463e-03,-1.165546e-03,6.587264e-03,1,0
1688,-0.898788,-0.181165,-8.892403e-03,-1.193383e-03,6.587264e-03,1,0
1243,-0.898750,-0.182232,-8.892152e-03,-1.200412e-03,6.587264e-03,1,0
1793,-0.898728,-0.182867,-8.892007e-03,-1.204594e-03,6.587264e-03,1,0
1362,-0.898715,-0.186807,-8.891922e-03,-1.230544e-03,6.587264e-03,1,0
1260,-0.898714,-0.183266,-8.891915e-03,-1.207225e-03,6.587264e-03,1,0
105,-0.898693,-0.183881,-8.891776e-03,-1.211270e-03,6.587264e-03,1,0
616,-0.898691,-0.183937,-8.891762e-03,-1.211640e-03,6.587264e-03,1,0
1719,-0.898685,-0.184115,-8.891722e-03,-1.212814e-03,6.587264e-03,1,0
391,-0.898670,-0.184509,-8.891625e-03,-1.215413e-03,6.587264e-03,1,0
840,-0.898646,-0.188433,-8.891464e-03,-1.241257e-03,6.587264e-03,1,0
1661,-0.898631,-0.185737,-8.891366e-03,-1.223502e-03,6.587264e-03,1,0
1430,-0.898629,-0.185784,-8.891353e-03,-1.223811e-03,6.587264e-03,1,0
184,-0.898619,-0.186098,-8.891287e-03,-1.225875e-03,6.587264e-03,1,0
58,-0.898601,-0.186740,-8.891171e-03,-1.230107e-03,6.587264e-03,1,0
96,-0.898601,-0.186743,-8.891170e-03,-1.230127e-03,6.587264e-03,1,0
1824,-0.898595,-0.187008,-8.891129e-03,-1.231874e-03,6.587264e-03,1,0
1261,-0.898591,-0.187118,-8.891102e-03,-1.232593e-03,6.587264e-03,1,0
1537,-0.898589,-0.187251,-8.891088e-03,-1.233470e-03,6.587264e-03,1,0
1114,-0.898583,-0.187491,-8.891046e-03,-1.235053e-03,6.587264e-03,1,0
940,-0.898582,-0.196047,-8.891040e-03,-1.291411e-03,6.587264e-03,1,0
1147,-0.898579,-0.196114,-8.891024e-03,-1.291856e-03,6.587264e-03,1,0
309,-0.898569,-0.190032,-8.890959e-03,-1.251794e-03,6.587264e-03,1,0
461,-0.898569,-0.188087,-8.890956e-03,-1.238980e-03,6.587264e-03,1,0
232,-0.898556,-0.188671,-8.890871e-03,-1.242829e-03,6.587264e-03,1,0
129,-0.898547,-0.189120,-8.890811e-03,-1.245782e-03,6.587264e-03,1,0
357,-0.898535,-0.189668,-8.890735e-03,-1.249395e-03,6.587264e-03,1,0
1089,-0.898519,-0.190513,-8.890627e-03,-1.254961e-03,6.587264e-03,1,0
1178,-0.898515,-0.190676,-8.890600e-03,-1.256036e-03,6.587264e-03,1,0
1839,-0.898493,-0.191712,-8.890460e-03,-1.262861e-03,6.587264e-03,1,0
901,-0.898493,-0.191744,-8.890456e-03,-1.263068e-03,6.587264e-03,1,0
1559,-0.898492,-0.191770,-8.890451e-03,-1.263242e-03,6.587264e-03,1,0
939,-0.898441,-0.194262,-8.890113e-03,-1.279657e-03,6.587264e-03,1,0
1907,-0.898431,-0.194756,-8.890048e-03,-1.282909e-03,6.587264e-03,1,0
1787,-0.898431,-0.194751,-8.890047e-03,-1.282873e-03,6.587264e-03,1,0
