neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
2571,-1.040720,-0.139919,-4.277614e-03,-3.642213e-04,2.603095e-03,1,0
3359,-1.034647,-0.132305,-4.261807e-03,-3.444035e-04,2.603095e-03,1,0
340,-1.033399,-0.130309,-4.258556e-03,-3.392080e-04,2.603095e-03,1,0
289,-1.032442,-0.128225,-4.256067e-03,-3.337812e-04,2.603095e-03,1,0
3146,-1.030296,-0.127300,-4.250480e-03,-3.313749e-04,2.603095e-03,1,0
2517,-1.028985,-0.137027,-4.247067e-03,-3.566933e-04,2.603095e-03,1,0
2318,-1.028384,-0.124891,-4.245502e-03,-3.251035e-04,2.603095e-03,1,0
2827,-1.026300,-0.119915,-4.240078e-03,-3.121508e-04,2.603095e-03,1,0
2301,-1.025995,-0.126295,-4.239283e-03,-3.287576e-04,2.603095e-03,1,0
1914,-1.024029,-0.130564,-4.234165e-03,-3.398697e-04,2.603095e-03,1,0
1686,-1.020373,-0.118546,-4.224648e-03,-3.085875e-04,2.603095e-03,1,0
542,-1.018802,-0.110424,-4.220560e-03,-2.874449e-04,2.603095e-03,1,0
2135,-1.015932,-0.116165,-4.213089e-03,-3.023873e-04,2.603095e-03,1,0
3286,-1.014953,-0.113753,-4.210539e-03,-2.961086e-04,2.603095e-03,1,0
2117,-1.012666,-0.116824,-4.204587e-03,-3.041029e-04,2.603095e-03,1,0
2097,-1.011729,-0.116708,-4.202148e-03,-3.038032e-04,2.603095e-03,1,0
464,-1.010769,-0.109251,-4.199650e-03,-2.843917e-04,2.603095e-03,1,0
2461,-1.008960,-0.101939,-4.194941e-03,-2.653580e-04,2.603095e-03,1,0
1511,-1.008611,-0.108297,-4.194030e-03,-2.819086e-04,2.603095e-03,1,0
3478,-1.008536,-0.098743,-4.193838e-03,-2.570383e-04,2.603095e-03,1,0
947,-1.007940,-0.111344,-4.192284e-03,-2.898378e-04,2.603095e-03,1,0
3296,-1.007693,-0.094461,-4.191642e-03,-2.458908e-04,2.603095e-03,1,0
110,-1.006560,-0.119067,-4.188693e-03,-3.099418e-04,2.603095e-03,1,0
799,-1.005620,-0.104603,-4.186246e-03,-2.722912e-04,2.603095e-03,1,0
3433,-1.003778,-0.104202,-4.181451e-03,-2.712473e-04,2.603095e-03,1,0
865,-1.000812,-0.104153,-4.173730e-03,-2.711212e-04,2.603095e-03,1,0
2794,-1.000670,-0.101533,-4.173361e-03,-2.642995e-04,2.603095e-03,1,0
910,-1.000000,-0.095015,-4.171616e-03,-2.473336e-04,2.603095e-03,1,0
1421,-1.000000,-0.086855,-4.171616e-03,-2.260920e-04,2.603095e-03,1,0
1817,-1.000000,-0.091843,-4.171616e-03,-2.390772e-04,2.603095e-03,1,0
1210,-1.000000,-0.074723,-4.171616e-03,-1.945117e-04,2.603095e-03,1,0
2376,-1.000000,-0.098916,-4.171616e-03,-2.574878e-04,2.603095e-03,1,0
1426,-1.000000,-0.074005,-4.171616e-03,-1.926433e-04,2.603095e-03,1,0
3138,-1.000000,-0.096284,-4.171616e-03,-2.506355e-04,2.603095e-03,1,0
376,-1.000000,-0.078218,-4.171616e-03,-2.036082e-04,2.603095e-03,1,0
1554,-1.000000,-0.095893,-4.171616e-03,-2.496186e-04,2.603095e-03,1,0
67,-1.000000,-0.092572,-4.171616e-03,-2.409734e-04,2.603095e-03,1,0
633,-1.000000,-0.101654,-4.171616e-03,-2.646148e-04,2.603095e-03,1,0
334,-1.000000,-0.091904,-4.171616e-03,-2.392348e-04,2.603095e-03,1,0
1422,-1.000000,-0.080074,-4.171616e-03,-2.084405e-04,2.603095e-03,1,0
1549,-1.000000,-0.069117,-4.171616e-03,-1.799173e-04,2.603095e-03,1,0
1698,-1.000000,-0.069544,-4.171616e-03,-1.810307e-04,2.603095e-03,1,0
2067,-1.000000,-0.101666,-4.171616e-03,-2.646458e-04,2.603095e-03,1,0
903,-1.000000,-0.089180,-4.171616e-03,-2.321443e-04,2.603095e-03,1,0
1038,-1.000000,-0.096809,-4.171616e-03,-2.520030e-04,2.603095e-03,1,0
1653,-1.000000,-0.075921,-4.171616e-03,-1.976291e-04,2.603095e-03,1,0
1348,-1.000000,-0.104796,-4.171616e-03,-2.727927e-04,2.603095e-03,1,0
2047,-1.000000,-0.099726,-4.171616e-03,-2.595952e-04,2.603095e-03,1,0
251,-1.000000,-0.084237,-4.171616e-03,-2.192767e-04,2.603095e-03,1,0
3413,-1.000000,-0.104075,-4.171616e-03,-2.709180e-04,2.603095e-03,1,0
83,-1.000000,-0.074373,-4.171616e-03,-1.936010e-04,2.603095e-03,1,0
2611,-1.000000,-0.092728,-4.171616e-03,-2.413800e-04,2.603095e-03,1,0
2249,-1.000000,-0.067984,-4.171616e-03,-1.769694e-04,2.603095e-03,1,0
3426,-1.000000,-0.097710,-4.171616e-03,-2.543496e-04,2.603095e-03,1,0
3041,-1.000000,-0.091215,-4.171616e-03,-2.374426e-04,2.603095e-03,1,0
1545,-1.000000,-0.073983,-4.171616e-03,-1.925850e-04,2.603095e-03,1,0
2513,-1.000000,-0.077494,-4.171616e-03,-2.017249e-04,2.603095e-03,1,0
320,-1.000000,-0.098479,-4.171616e-03,-3.137797e-04,3.186249e-03,1,0
2664,-1.000000,-0.094734,-4.171616e-03,-3.018471e-04,3.186249e-03,1,0
3347,-1.000000,-0.065351,-4.171616e-03,-2.082232e-04,3.186249e-03,1,0
3161,-1.000000,-0.088922,-4.171616e-03,-2.833263e-04,3.186249e-03,1,0
1202,-1.000000,-0.078828,-4.171616e-03,-2.511663e-04,3.186249e-03,1,0
452,-1.000000,-0.074061,-4.171616e-03,-2.359766e-04,3.186249e-03,1,0
697,-1.000000,-0.105048,-4.171616e-03,-3.347093e-04,3.186249e-03,1,0
2418,-0.999775,-0.067324,-4.170901e-03,-2.145097e-04,3.186249e-03,1,0
115,-0.999306,-0.066547,-4.169405e-03,-2.120342e-04,3.186249e-03,1,0
2005,-0.998504,-0.065084,-4.166850e-03,-2.073724e-04,3.186249e-03,1,0
736,-0.998205,-0.064291,-4.165896e-03,-2.048458e-04,3.186249e-03,1,0
2649,-0.997509,-0.060525,-4.163679e-03,-1.928470e-04,3.186249e-03,1,0
1748,-0.997007,-0.062015,-4.162079e-03,-1.975938e-04,3.186249e-03,1,0
1506,-0.996915,-0.060030,-4.161788e-03,-1.912719e-04,3.186249e-03,1,0
1407,-0.995339,-0.053975,-4.156765e-03,-1.719773e-04,3.186249e-03,1,0
857,-0.994822,-0.056324,-4.155117e-03,-1.794635e-04,3.186249e-03,1,0
2998,-0.993758,-0.054451,-4.151728e-03,-1.734958e-04,3.186249e-03,1,0
2670,-0.993107,-0.056464,-4.149653e-03,-1.799081e-04,3.186249e-03,1,0
2061,-0.992581,-0.053438,-4.147978e-03,-1.702659e-04,3.186249e-03,1,0
1129,-0.990477,-0.047189,-4.141274e-03,-1.503572e-04,3.186249e-03,1,0
3076,-0.990376,-0.045538,-4.140953e-03,-1.450959e-04,3.186249e-03,1,0
1338,-0.990224,-0.048919,-4.140468e-03,-1.558688e-04,3.186249e-03,1,0
2090,-0.990124,-0.046384,-4.140150e-03,-1.477899e-04,3.186249e-03,1,0
3352,-0.989999,-0.045775,-4.139750e-03,-1.458499e-04,3.186249e-03,1,0
1883,-0.989521,-0.048453,-4.138088e-03,-1.701696e-04,3.512040e-03,1,0
50,-0.988688,-0.044512,-4.135163e-03,-1.563281e-04,3.512040e-03,1,0
2873,-0.980268,-0.037567,-4.105591e-03,-1.319356e-04,3.512040e-03,1,0
2007,-0.979087,-0.037116,-4.101335e-03,-1.353038e-04,3.645446e-03,1,0
2880,-0.976376,-0.039514,-4.091451e-03,-1.440476e-04,3.645446e-03,1,0
3274,-0.976091,-0.034567,-4.090413e-03,-1.260121e-04,3.645446e-03,1,0
3373,-0.974601,-0.024285,-4.084982e-03,-8.852801e-05,3.645446e-03,1,0
1946,-0.973654,-0.027918,-4.081528e-03,-1.017740e-04,3.645446e-03,1,0
3203,-0.971739,-0.023174,-4.074548e-03,-8.447941e-05,3.645446e-03,1,0
1639,-0.969240,-0.028837,-4.065453e-03,-1.043521e-04,3.618737e-03,1,0
1719,-0.967867,-0.025356,-4.060488e-03,-9.175820e-05,3.618737e-03,1,0
1002,-0.966911,-0.022757,-4.057026e-03,-8.235134e-05,3.618737e-03,1,0
2489,-0.964856,-0.028222,-4.049589e-03,-1.021279e-04,3.618737e-03,1,0
2837,-0.964015,-0.014854,-4.046548e-03,-5.375198e-05,3.618737e-03,1,0
71,-0.963395,-0.014589,-4.044304e-03,-5.279355e-05,3.618737e-03,1,0
2955,-0.952443,-0.004068,-4.005733e-03,-1.413392e-05,3.474156e-03,0,0
2553,-0.952099,-0.008766,-4.004538e-03,-3.045279e-05,3.474156e-03,1,0
1089,-0.947996,-0.007822,-3.990679e-03,-2.542101e-05,3.249936e-03,1,0
3269,-0.945310,-0.001992,-3.981950e-03,-6.473109e-06,3.249936e-03,0,0
3339,-0.945258,0.002490,-3.981778e-03,8.092467e-06,3.249936e-03,0,0
1916,-0.944921,-0.007638,-3.980683e-03,-2.482407e-05,3.249936e-03,1,0
2466,-0.942832,-0.005803,-3.973897e-03,-1.886074e-05,3.249936e-03,0,0
3364,-0.941168,-0.004287,-3.968488e-03,-1.393311e-05,3.249936e-03,0,0
2564,-0.939958,-0.004410,-3.964555e-03,-1.433215e-05,3.249936e-03,0,0
863,-0.938703,0.008997,-3.960734e-03,2.689511e-05,2.989437e-03,1,0
2630,-0.936809,0.003872,-3.955074e-03,1.157596e-05,2.989437e-03,0,0
856,-0.936100,-0.000877,-3.952953e-03,-2.622985e-06,2.989437e-03,0,0
3435,-0.935363,0.007869,-3.950751e-03,2.352332e-05,2.989437e-03,1,0
2177,-0.929949,0.009354,-3.934565e-03,2.796280e-05,2.989437e-03,1,0
1894,-0.929687,0.008201,-3.933782e-03,2.451561e-05,2.989437e-03,1,0
2543,-0.928837,0.008012,-3.931442e-03,2.196366e-05,2.741323e-03,1,0
663,-0.928345,0.007097,-3.930095e-03,1.945641e-05,2.741323e-03,1,0
3345,-0.928123,0.019128,-3.929486e-03,5.243586e-05,2.741323e-03,1,0
1302,-0.926184,0.010957,-3.924169e-03,3.003635e-05,2.741323e-03,1,0
737,-0.925305,0.018185,-3.921762e-03,4.985110e-05,2.741323e-03,1,0
802,-0.924350,0.013998,-3.919141e-03,3.837214e-05,2.741323e-03,1,0
1144,-0.922806,0.013761,-3.914909e-03,3.772385e-05,2.741323e-03,1,0
3109,-0.922471,0.003982,-3.913992e-03,1.091697e-05,2.741323e-03,0,0
3224,-0.921729,0.017220,-3.911957e-03,4.720571e-05,2.741323e-03,1,0
725,-0.921567,0.014723,-3.911512e-03,4.035922e-05,2.741323e-03,1,0
1939,-0.920705,0.017023,-3.909149e-03,4.666467e-05,2.741323e-03,1,0
402,-0.920668,0.016532,-3.909048e-03,4.531893e-05,2.741323e-03,1,0
1239,-0.919799,0.026809,-3.906668e-03,7.349263e-05,2.741323e-03,1,0
3035,-0.919759,0.020124,-3.906556e-03,5.516681e-05,2.741323e-03,1,0
2661,-0.919710,0.011987,-3.906423e-03,3.285953e-05,2.741323e-03,1,0
306,-0.919680,0.026556,-3.906340e-03,7.279756e-05,2.741323e-03,1,0
629,-0.918885,0.026373,-3.904298e-03,6.729481e-05,2.551650e-03,1,0
1518,-0.918274,0.012739,-3.902736e-03,3.250478e-05,2.551650e-03,1,0
3477,-0.916206,0.006708,-3.897459e-03,1.711676e-05,2.551650e-03,0,0
1168,-0.915636,0.025676,-3.896007e-03,6.551524e-05,2.551650e-03,1,0
3468,-0.914231,0.019576,-3.892422e-03,4.995184e-05,2.551650e-03,1,0
2868,-0.914031,0.026450,-3.891910e-03,6.749067e-05,2.551650e-03,1,0
407,-0.913939,0.021913,-3.891676e-03,5.591395e-05,2.551650e-03,1,0
580,-0.913467,0.025529,-3.890471e-03,6.514046e-05,2.551650e-03,1,0
311,-0.912544,0.031352,-3.888116e-03,7.999972e-05,2.551650e-03,1,0
977,-0.911947,0.007305,-3.886593e-03,1.864035e-05,2.551650e-03,1,0
3133,-0.911817,0.034532,-3.886261e-03,8.811471e-05,2.551650e-03,1,0
543,-0.911188,0.036987,-3.884657e-03,9.437789e-05,2.551650e-03,1,0
2590,-0.911089,0.035623,-3.884403e-03,9.089656e-05,2.551650e-03,1,0
978,-0.910595,0.014240,-3.883143e-03,3.633567e-05,2.551650e-03,1,0
240,-0.910244,0.021130,-3.882247e-03,5.391641e-05,2.551650e-03,1,0
654,-0.909827,0.047293,-3.881185e-03,1.206753e-04,2.551650e-03,1,0
3199,-0.909311,0.031551,-3.879891e-03,7.734482e-05,2.451444e-03,1,0
2809,-0.909015,0.024006,-3.879166e-03,5.885056e-05,2.451444e-03,1,0
2022,-0.908767,0.038977,-3.878557e-03,9.554895e-05,2.451444e-03,1,0
1547,-0.908582,0.030982,-3.878104e-03,7.595007e-05,2.451444e-03,1,0
658,-0.908042,0.030513,-3.876779e-03,7.480190e-05,2.451444e-03,1,0
2821,-0.906053,0.036807,-3.871903e-03,9.022993e-05,2.451444e-03,1,0
2915,-0.904707,0.047179,-3.868603e-03,1.156576e-04,2.451444e-03,1,0
127,-0.903681,0.027141,-3.866089e-03,6.653374e-05,2.451444e-03,1,0
2796,-0.903524,0.036741,-3.865704e-03,9.006920e-05,2.451444e-03,1,0
1974,-0.903081,0.031838,-3.864618e-03,7.804795e-05,2.451444e-03,1,0
1065,-0.902863,0.023239,-3.864084e-03,5.696955e-05,2.451444e-03,1,0
3443,-0.902708,0.047509,-3.863704e-03,1.164656e-04,2.451444e-03,1,0
851,-0.902576,0.028851,-3.863379e-03,7.072627e-05,2.451444e-03,1,0
1684,-0.902015,0.023876,-3.862006e-03,5.853017e-05,2.451444e-03,1,0
2900,-0.901351,0.034430,-3.860377e-03,8.440251e-05,2.451444e-03,1,0
3268,-0.901184,0.036920,-3.859967e-03,9.050810e-05,2.451444e-03,1,0
1540,-0.901122,0.034729,-3.859816e-03,8.513547e-05,2.451444e-03,1,0
2820,-0.901085,0.032562,-3.859725e-03,7.982485e-05,2.451444e-03,1,0
1111,-0.900973,0.036929,-3.859450e-03,9.053020e-05,2.451444e-03,1,0
285,-0.900648,0.018111,-3.858653e-03,4.439780e-05,2.451444e-03,1,0
2507,-0.900365,0.046104,-3.857960e-03,1.130208e-04,2.451444e-03,1,0
1188,-0.900354,0.040149,-3.857932e-03,9.842411e-05,2.451444e-03,1,0
1203,-0.899901,0.040340,-3.856822e-03,9.889128e-05,2.451444e-03,1,0
2485,-0.899312,0.043372,-3.855379e-03,1.063054e-04,2.451009e-03,1,0
2729,-0.899006,0.031817,-3.854629e-03,7.798437e-05,2.451009e-03,1,0
2074,-0.898897,0.030710,-3.854362e-03,7.527086e-05,2.451009e-03,1,0
2845,-0.898697,0.026604,-3.853872e-03,6.520586e-05,2.451009e-03,1,0
3424,-0.898404,0.020798,-3.853152e-03,5.097643e-05,2.451009e-03,1,0
1716,-0.898260,0.039338,-3.852800e-03,9.641841e-05,2.451009e-03,1,0
591,-0.896999,0.032852,-3.849710e-03,8.051991e-05,2.451009e-03,1,0
2151,-0.896975,0.053631,-3.849650e-03,1.314496e-04,2.451009e-03,1,0
1773,-0.896958,0.038762,-3.849609e-03,9.500642e-05,2.451009e-03,1,0
2469,-0.896617,0.035387,-3.848774e-03,8.673431e-05,2.451009e-03,1,0
1736,-0.896328,0.028128,-3.848064e-03,6.894243e-05,2.451009e-03,1,0
488,-0.896308,0.054349,-3.848017e-03,1.332094e-04,2.451009e-03,1,0
515,-0.896299,0.045489,-3.847994e-03,1.114932e-04,2.451009e-03,1,0
655,-0.895697,0.039090,-3.846518e-03,9.581060e-05,2.451009e-03,1,0
1893,-0.895368,0.036945,-3.845712e-03,9.055357e-05,2.451009e-03,1,0
214,-0.895164,0.035728,-3.845211e-03,8.756857e-05,2.451009e-03,1,0
309,-0.895069,0.037310,-3.844978e-03,9.144836e-05,2.451009e-03,1,0
827,-0.894734,0.034483,-3.844159e-03,8.451843e-05,2.451009e-03,1,0
2343,-0.894602,0.034594,-3.843835e-03,8.479085e-05,2.451009e-03,1,0
1149,-0.894409,0.031226,-3.843360e-03,7.653529e-05,2.451009e-03,1,0
455,-0.893834,0.032617,-3.841951e-03,7.994344e-05,2.451009e-03,1,0
1734,-0.893812,0.047462,-3.841898e-03,1.163309e-04,2.451009e-03,1,0
2121,-0.893666,0.047389,-3.841539e-03,1.161504e-04,2.451009e-03,1,0
3083,-0.893640,0.029623,-3.841476e-03,7.260509e-05,2.451009e-03,1,0
2029,-0.893632,0.035568,-3.841457e-03,8.717808e-05,2.451009e-03,1,0
789,-0.893273,0.024513,-3.840576e-03,6.008189e-05,2.451009e-03,1,0
3375,-0.893180,0.030753,-3.840348e-03,7.537612e-05,2.451009e-03,1,0
1660,-0.892967,0.052612,-3.839828e-03,1.289513e-04,2.451009e-03,1,0
2375,-0.892873,0.053863,-3.839598e-03,1.320175e-04,2.451009e-03,1,0
3131,-0.892473,0.040300,-3.838616e-03,9.877444e-05,2.451009e-03,1,0
3444,-0.891855,0.047323,-3.837101e-03,1.159885e-04,2.451009e-03,1,0
3243,-0.891660,0.050751,-3.836623e-03,1.243909e-04,2.451009e-03,1,0
686,-0.890964,0.038937,-3.834919e-03,9.543428e-05,2.451009e-03,1,0
1732,-0.890742,0.041073,-3.834374e-03,1.006710e-04,2.451009e-03,1,0
2364,-0.890557,0.035440,-3.833919e-03,8.686430e-05,2.451009e-03,1,0
